"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","fecundityDecRate","trafficLongCoefficient","costMinFactor","fecundityReck","fecundityRegen","migrationDistanceThreshold","trafficShortCoefficient"
2,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,373838070,0.2,0.0,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
4,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,373840100,0.2,0.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
6,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,373842541,0.2,0.0,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
8,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,373845653,0.2,0.2,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
10,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,373847298,0.2,0.2,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
12,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,373850569,0.2,0.2,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
14,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,373854442,0.2,0.4,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
16,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,373857020,0.2,0.4,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
18,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,373861026,0.2,0.4,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
20,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,373865283,0.2,0.6,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
22,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,373869379,0.2,0.6,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
24,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,373873715,0.2,0.6,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
26,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,373878347,0.2,0.8,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
28,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,373882982,0.2,0.8,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
30,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,373888170,0.2,0.8,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
32,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,373892790,0.2,1.0,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
34,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,373897763,0.2,1.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
36,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,373902009,0.2,1.0,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
38,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,373906344,0.2,0.0,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
40,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,373907695,0.2,0.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
42,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,373910190,0.2,0.0,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
44,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,373913374,0.2,0.2,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
46,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,373915241,0.2,0.2,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
48,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,373918282,0.2,0.2,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
50,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,373921928,0.2,0.4,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
52,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,373924796,0.2,0.4,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
54,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,373928628,0.2,0.4,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
56,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,373932456,0.2,0.6,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
58,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,373936628,0.2,0.6,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
60,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,373941213,0.2,0.6,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
62,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,373945807,0.2,0.8,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
64,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,373950260,0.2,0.8,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
66,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,373955004,0.2,0.8,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
68,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,373959473,0.2,1.0,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
70,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,373963762,0.2,1.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
72,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,373968432,0.2,1.0,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
74,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,373973173,0.2,0.0,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
76,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,373974615,0.2,0.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
78,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,373977225,0.2,0.0,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
80,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,373980466,0.2,0.2,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
82,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,373982401,0.2,0.2,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
84,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,373985578,0.2,0.2,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
86,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,373989501,0.2,0.4,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
88,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,373992344,0.2,0.4,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
90,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,373996369,0.2,0.4,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
92,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,374000410,0.2,0.6,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
94,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,374004307,0.2,0.6,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
96,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,374009374,0.2,0.6,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
98,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,374013919,0.2,0.8,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
100,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,374018259,0.2,0.8,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
102,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,374022839,0.2,0.8,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
104,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,374027586,0.2,1.0,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
106,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,374031832,0.2,1.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
108,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,374036563,0.2,1.0,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
110,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,374041063,0.2,0.0,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
112,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,374042655,0.2,0.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
114,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,374046001,0.2,0.0,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
116,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,374049499,0.2,0.2,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
118,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,374051547,0.2,0.2,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
120,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,374055198,0.2,0.2,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
122,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,374059514,0.2,0.4,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
124,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,374062753,0.2,0.4,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
126,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,374066855,0.2,0.4,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
128,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,374071161,0.2,0.6,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
130,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,374075116,0.2,0.6,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
132,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,374079266,0.2,0.6,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
134,1.0,0.0,230,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,374083316,0.2,0.8,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
