"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","fecundityDecRate","trafficLongCoefficient","costMinFactor","fecundityReck","fecundityRegen","migrationDistanceThreshold","trafficShortCoefficient"
8,1.0,0.0,190,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,478691322,0.2,0.2,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
16,1.0,0.0,190,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,478702487,0.2,0.4,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
24,1.0,0.0,190,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,478719408,0.2,0.6,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
32,1.0,0.0,190,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,478737657,0.2,1.0,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
40,1.0,0.0,190,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,478757628,0.2,0.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
48,1.0,0.0,190,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,478768697,0.2,0.2,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
56,1.0,0.0,190,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,478784929,0.2,0.6,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
64,1.0,0.0,190,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,478801930,0.2,0.8,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
72,1.0,0.0,190,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,478822929,0.2,1.0,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
80,1.0,0.0,190,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,478841676,0.2,0.2,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
88,1.0,0.0,190,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,478850164,0.2,0.4,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
96,1.0,0.0,190,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,478867249,0.2,0.6,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
104,1.0,0.0,190,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,478885008,0.2,1.0,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
112,1.0,0.0,190,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,478904498,0.2,0.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
120,1.0,0.0,190,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,478916782,0.2,0.2,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
128,1.0,0.0,190,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,478933874,0.2,0.6,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
136,1.0,0.0,190,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,478950496,0.2,0.8,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
144,1.0,0.0,190,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,478967746,0.2,1.0,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
152,1.0,0.0,190,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.8,0.05,2.0,478986162,0.2,0.2,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
160,1.0,0.0,190,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.8,0.05,2.0,478996415,0.2,0.4,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
168,1.0,0.0,190,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.8,0.05,2.0,479013147,0.2,0.6,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
176,1.0,0.0,190,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.8,0.05,2.0,479029235,0.2,1.0,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
184,1.0,0.0,190,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,1.0,0.05,2.0,479046212,0.2,0.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
192,1.0,0.0,190,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,1.0,0.05,2.0,479059018,0.2,0.2,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
200,1.0,0.0,190,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,1.0,0.05,2.0,479075601,0.2,0.6,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
