"run","disturbance","uplandAmount","costPromotiveDecRate","costDemotiveRes","disturbanceDelay","infert","costDemotiveDecRate","costPromotiveIncRate","fecundityPromotiveIncRate","gravityConstant","obTargetID","obSourceID","fecundityPromotiveRes","importsConstant","costDemotiveMax","fecundityPromotiveMax","importsCoefficient","fecundityDemotiveIncRate","costPromotiveRes","fecundityDemotiveDecRate","fecundityDemotiveMax","fecundityDemotiveRes","costPromotiveMax","randomSeed","importsDistanceDecayTerm","fecundityPromotiveDecRate","trafficLongCoefficient","costDemotiveIncRate","trafficShortCoefficient","migrationDistanceThreshold"
83,0.82,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291432409,2.0,1.0,0.03,0.05,0.05,100.0
90,0.89,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291419718,2.0,1.0,0.03,0.05,0.05,100.0
97,0.96,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291406606,2.0,1.0,0.03,0.05,0.05,100.0
5,0.04,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291580968,2.0,1.0,0.03,0.05,0.05,100.0
12,0.11,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291565152,2.0,1.0,0.03,0.05,0.05,100.0
19,0.18,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291552335,2.0,1.0,0.03,0.05,0.05,100.0
26,0.25,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291540028,2.0,1.0,0.03,0.05,0.05,100.0
33,0.32,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291527235,2.0,1.0,0.03,0.05,0.05,100.0
40,0.39,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291514345,2.0,1.0,0.03,0.05,0.05,100.0
47,0.46,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291501519,2.0,1.0,0.03,0.05,0.05,100.0
54,0.53,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291488658,2.0,1.0,0.03,0.05,0.05,100.0
