"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","fecundityDisturbance","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","costDisturbance","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","trafficLongCoefficient","fecundityDecRate","costMinFactor","fecundityRegen","fecundityReck","trafficShortCoefficient","migrationDistanceThreshold"
90,1.0,0.0,140,10.0,0,15,9.9,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689725703,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
5,1.0,0.0,140,10.0,0,15,1.4,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689658698,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
12,1.0,0.0,140,10.0,0,15,2.1,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689670273,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
19,1.0,0.0,140,10.0,0,15,2.8,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689677013,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
26,1.0,0.0,140,10.0,0,15,3.5,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689682626,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
33,1.0,0.0,140,10.0,0,15,4.2,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689687896,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
40,1.0,0.0,140,10.0,0,15,4.9,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689692657,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
47,1.0,0.0,140,10.0,0,15,5.6,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689697504,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
54,1.0,0.0,140,10.0,0,15,6.3,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689702578,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
61,1.0,0.0,140,10.0,0,15,7.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689707403,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
68,1.0,0.0,140,10.0,0,15,7.7,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689712331,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
75,1.0,0.0,140,10.0,0,15,8.4,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689716824,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
82,1.0,0.0,140,10.0,0,15,9.1,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689721297,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
89,1.0,0.0,140,10.0,0,15,9.8,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689725827,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
4,1.0,0.0,140,10.0,0,15,1.3,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689657243,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
11,1.0,0.0,140,10.0,0,15,2.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689670255,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
18,1.0,0.0,140,10.0,0,15,2.7,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689677185,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
25,1.0,0.0,140,10.0,0,15,3.4,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689682892,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
32,1.0,0.0,140,10.0,0,15,4.1,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689687941,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
39,1.0,0.0,140,10.0,0,15,4.8,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689692674,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
46,1.0,0.0,140,10.0,0,15,5.5,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689697816,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
53,1.0,0.0,140,10.0,0,15,6.2,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689702820,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
60,1.0,0.0,140,10.0,0,15,6.9,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689707607,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
67,1.0,0.0,140,10.0,0,15,7.6,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689712134,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
74,1.0,0.0,140,10.0,0,15,8.3,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689717011,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
81,1.0,0.0,140,10.0,0,15,9.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689721956,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
88,1.0,0.0,140,10.0,0,15,9.7,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689726435,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
3,1.0,0.0,140,10.0,0,15,1.2,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689658221,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
10,1.0,0.0,140,10.0,0,15,1.9,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689672465,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
17,1.0,0.0,140,10.0,0,15,2.6,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1689679190,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
