"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","fecundityDecRate","trafficLongCoefficient","costMinFactor","fecundityReck","fecundityRegen","migrationDistanceThreshold","trafficShortCoefficient"
7,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,-236233025,0.2,0.2,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
14,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,-236227006,0.2,0.4,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
21,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,-236217047,0.2,0.6,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
28,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,-236204499,0.2,0.8,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
35,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,-236189915,0.2,1.0,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
42,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,-236175087,0.2,0.0,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
49,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,-236163667,0.2,0.4,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
56,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,-236160300,0.2,0.6,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
63,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,-236147861,0.2,0.8,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
70,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,-236135011,0.2,1.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
77,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,-236121828,0.2,0.0,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
84,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,-236112343,0.2,0.2,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
91,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,-236101374,0.2,0.6,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
98,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,-236096365,0.2,0.8,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
105,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,-236084074,0.2,1.0,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
112,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,-236070107,0.2,0.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
119,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,-236060703,0.2,0.2,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
