"run","disturbance","costPromotiveDecRate","uplandAmount","costDemotiveRes","disturbanceDelay","infert","costDemotiveDecRate","costPromotiveIncRate","fecundityPromotiveIncRate","gravityConstant","obTargetID","obSourceID","fecundityPromotiveRes","importsConstant","costDemotiveMax","fecundityPromotiveMax","importsCoefficient","fecundityDemotiveIncRate","costPromotiveRes","fecundityDemotiveDecRate","fecundityDemotiveMax","fecundityDemotiveRes","costPromotiveMax","randomSeed","importsDistanceDecayTerm","fecundityPromotiveDecRate","trafficLongCoefficient","costDemotiveIncRate","trafficShortCoefficient","migrationDistanceThreshold"
182,0.0,1.0,181,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296267097,2.0,1.0,0.03,0.05,0.05,100.0
189,0.0,1.0,188,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296256446,2.0,1.0,0.03,0.05,0.05,100.0
196,0.0,1.0,195,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296245984,2.0,1.0,0.03,0.05,0.05,100.0
203,0.0,1.0,202,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296236570,2.0,1.0,0.03,0.05,0.05,100.0
210,0.0,1.0,209,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296226142,2.0,1.0,0.03,0.05,0.05,100.0
217,0.0,1.0,216,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296216721,2.0,1.0,0.03,0.05,0.05,100.0
224,0.0,1.0,223,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296208394,2.0,1.0,0.03,0.05,0.05,100.0
231,0.0,1.0,230,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296201872,2.0,1.0,0.03,0.05,0.05,100.0
238,0.0,1.0,237,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296193726,2.0,1.0,0.03,0.05,0.05,100.0
245,0.0,1.0,244,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296186009,2.0,1.0,0.03,0.05,0.05,100.0
252,0.0,1.0,251,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296178420,2.0,1.0,0.03,0.05,0.05,100.0
259,0.0,1.0,258,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296170473,2.0,1.0,0.03,0.05,0.05,100.0
266,0.0,1.0,265,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296162386,2.0,1.0,0.03,0.05,0.05,100.0
273,0.0,1.0,272,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296154919,2.0,1.0,0.03,0.05,0.05,100.0
280,0.0,1.0,279,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296147539,2.0,1.0,0.03,0.05,0.05,100.0
287,0.0,1.0,286,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296139626,2.0,1.0,0.03,0.05,0.05,100.0
6,0.0,1.0,5,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296568388,2.0,1.0,0.03,0.05,0.05,100.0
13,0.0,1.0,12,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296561206,2.0,1.0,0.03,0.05,0.05,100.0
20,0.0,1.0,19,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296556730,2.0,1.0,0.03,0.05,0.05,100.0
27,0.0,1.0,26,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296551325,2.0,1.0,0.03,0.05,0.05,100.0
34,0.0,1.0,33,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296543306,2.0,1.0,0.03,0.05,0.05,100.0
41,0.0,1.0,40,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296534068,2.0,1.0,0.03,0.05,0.05,100.0
48,0.0,1.0,47,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296524015,2.0,1.0,0.03,0.05,0.05,100.0
55,0.0,1.0,54,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296511934,2.0,1.0,0.03,0.05,0.05,100.0
62,0.0,1.0,61,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296498274,2.0,1.0,0.03,0.05,0.05,100.0
69,0.0,1.0,68,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296483416,2.0,1.0,0.03,0.05,0.05,100.0
76,0.0,1.0,75,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296468936,2.0,1.0,0.03,0.05,0.05,100.0
83,0.0,1.0,82,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296453909,2.0,1.0,0.03,0.05,0.05,100.0
90,0.0,1.0,89,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296439209,2.0,1.0,0.03,0.05,0.05,100.0
97,0.0,1.0,96,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296426424,2.0,1.0,0.03,0.05,0.05,100.0
104,0.0,1.0,103,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296413303,2.0,1.0,0.03,0.05,0.05,100.0
111,0.0,1.0,110,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296399544,2.0,1.0,0.03,0.05,0.05,100.0
118,0.0,1.0,117,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296385990,2.0,1.0,0.03,0.05,0.05,100.0
125,0.0,1.0,124,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296372903,2.0,1.0,0.03,0.05,0.05,100.0
132,0.0,1.0,131,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296359348,2.0,1.0,0.03,0.05,0.05,100.0
139,0.0,1.0,138,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296346352,2.0,1.0,0.03,0.05,0.05,100.0
