"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","fecundityDisturbance","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","costDisturbance","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","trafficLongCoefficient","fecundityDecRate","costMinFactor","fecundityRegen","fecundityReck","trafficShortCoefficient","migrationDistanceThreshold"
90,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,9.9,10.0,5.0E-4,0.7,3.33E-4,2.0,1688215625,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
5,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.4,10.0,5.0E-4,0.7,3.33E-4,2.0,1688130651,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
12,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,2.1,10.0,5.0E-4,0.7,3.33E-4,2.0,1688143360,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
19,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,2.8,10.0,5.0E-4,0.7,3.33E-4,2.0,1688152728,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
26,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,3.5,10.0,5.0E-4,0.7,3.33E-4,2.0,1688161204,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
33,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,4.2,10.0,5.0E-4,0.7,3.33E-4,2.0,1688168336,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
40,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,4.9,10.0,5.0E-4,0.7,3.33E-4,2.0,1688175944,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
47,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,5.6,10.0,5.0E-4,0.7,3.33E-4,2.0,1688182840,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
54,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,6.3,10.0,5.0E-4,0.7,3.33E-4,2.0,1688189051,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
61,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,7.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1688195048,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
68,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,7.7,10.0,5.0E-4,0.7,3.33E-4,2.0,1688201207,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
75,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,8.4,10.0,5.0E-4,0.7,3.33E-4,2.0,1688206546,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
82,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,9.1,10.0,5.0E-4,0.7,3.33E-4,2.0,1688212378,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
