"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","fecundityDecRate","trafficLongCoefficient","costMinFactor","fecundityReck","fecundityRegen","migrationDistanceThreshold","trafficShortCoefficient"
2,1.0,0.0,130,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,400056461,0.2,0.0,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
4,1.0,0.0,130,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,400058765,0.2,0.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
6,1.0,0.0,130,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,400061586,0.2,0.0,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
8,1.0,0.0,130,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,400064778,0.2,0.2,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
10,1.0,0.0,130,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,400066873,0.2,0.2,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
12,1.0,0.0,130,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,400070019,0.2,0.2,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
14,1.0,0.0,130,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,400073102,0.2,0.4,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
16,1.0,0.0,130,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,400076054,0.2,0.4,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
18,1.0,0.0,130,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,400079382,0.2,0.4,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
20,1.0,0.0,130,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,400082799,0.2,0.6,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
22,1.0,0.0,130,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,400086293,0.2,0.6,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
24,1.0,0.0,130,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,400089893,0.2,0.6,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
26,1.0,0.0,130,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,400093386,0.2,0.8,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
28,1.0,0.0,130,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,400097178,0.2,0.8,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
30,1.0,0.0,130,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,400100645,0.2,0.8,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
32,1.0,0.0,130,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,400104832,0.2,1.0,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
34,1.0,0.0,130,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,400108813,0.2,1.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
36,1.0,0.0,130,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,400112485,0.2,1.0,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
38,1.0,0.0,130,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,400116406,0.2,0.0,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
40,1.0,0.0,130,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,400118014,0.2,0.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
42,1.0,0.0,130,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,400120476,0.2,0.0,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
44,1.0,0.0,130,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,400123877,0.2,0.2,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
46,1.0,0.0,130,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,400125939,0.2,0.2,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
