"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","fecundityDisturbance","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","costDisturbance","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","trafficLongCoefficient","fecundityDecRate","costMinFactor","fecundityRegen","fecundityReck","trafficShortCoefficient","migrationDistanceThreshold"
90,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.89,3.33E-4,2.0,1681284789,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
97,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.96,3.33E-4,2.0,1681312157,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
5,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.04,3.33E-4,2.0,1680918729,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
12,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.11,3.33E-4,2.0,1680943197,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
19,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.18,3.33E-4,2.0,1680972369,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
26,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.25,3.33E-4,2.0,1680997998,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
33,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.32,3.33E-4,2.0,1681023006,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
40,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.39,3.33E-4,2.0,1681052857,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
47,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.46,3.33E-4,2.0,1681082014,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
54,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.53,3.33E-4,2.0,1681107195,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
61,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.6,3.33E-4,2.0,1681139614,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
68,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.67,3.33E-4,2.0,1681171083,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
75,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.74,3.33E-4,2.0,1681198688,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
82,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.81,3.33E-4,2.0,1681234653,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
89,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.88,3.33E-4,2.0,1681259291,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
96,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.95,3.33E-4,2.0,1681278410,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
4,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.03,3.33E-4,2.0,1680918929,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
11,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.1,3.33E-4,2.0,1680936428,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
18,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.17,3.33E-4,2.0,1680958719,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
25,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.24,3.33E-4,2.0,1680988566,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
32,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.31,3.33E-4,2.0,1681020475,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
39,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.38,3.33E-4,2.0,1681047014,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
46,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.45,3.33E-4,2.0,1681068019,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
53,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.52,3.33E-4,2.0,1681096197,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
60,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.59,3.33E-4,2.0,1681134277,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
