"","run","pop1","pop2","dif","canalDeath","canalDecay","sust","drought"
"145",145,251,55,196,1,0.5,0.4,0
"146",146,124,48,76,1,0.5,0.4,1
"147",147,168,44,124,1,0.5,0.4,2
"148",148,122,23,99,1,0.5,0.4,3
"149",149,142,22,120,1,0.5,0.4,4
"150",150,175,47,128,1,0.5,0.4,5
"151",151,196,73,123,1,0.5,0.4,6
"152",152,163,48,115,1,0.5,0.4,7
"153",153,235,54,181,1,0.5,0.5,0
"154",154,191,73,118,1,0.5,0.5,1
"155",155,195,42,153,1,0.5,0.5,2
"156",156,197,83,114,1,0.5,0.5,3
"157",157,132,58,74,1,0.5,0.5,4
"158",158,229,16,213,1,0.5,0.5,5
"159",159,155,67,88,1,0.5,0.5,6
"160",160,190,76,114,1,0.5,0.5,7
"161",161,242,97,145,1,0.5,0.6,0
"162",162,181,85,96,1,0.5,0.6,1
"163",163,211,71,140,1,0.5,0.6,2
"164",164,230,77,153,1,0.5,0.6,3
"165",165,250,79,171,1,0.5,0.6,4
"166",166,331,38,293,1,0.5,0.6,5
"167",167,142,79,63,1,0.5,0.6,6
"168",168,178,26,152,1,0.5,0.6,7
"169",169,293,99,194,1,0.5,0.7,0
"170",170,225,64,161,1,0.5,0.7,1
"171",171,260,84,176,1,0.5,0.7,2
"172",172,272,70,202,1,0.5,0.7,3
"173",173,222,68,154,1,0.5,0.7,4
"174",174,210,74,136,1,0.5,0.7,5
"175",175,256,90,166,1,0.5,0.7,6
"176",176,306,73,233,1,0.5,0.7,7
"177",177,353,65,288,1,0.5,0.8,0
"178",178,323,93,230,1,0.5,0.8,1
"179",179,190,89,101,1,0.5,0.8,2
"180",180,315,48,267,1,0.5,0.8,3
"181",181,313,87,226,1,0.5,0.8,4
"182",182,311,67,244,1,0.5,0.8,5
"183",183,237,83,154,1,0.5,0.8,6
"184",184,303,79,224,1,0.5,0.8,7
"185",185,397,98,299,1,0.5,1,0
"186",186,388,72,316,1,0.5,1,1
"187",187,260,109,151,1,0.5,1,2
"188",188,301,81,220,1,0.5,1,3
"189",189,278,111,167,1,0.5,1,4
"190",190,306,107,199,1,0.5,1,5
"191",191,268,98,170,1,0.5,1,6
"192",192,285,111,174,1,0.5,1,7
"193",193,0,0,0,1,1,0.1,0
"194",194,0,0,0,1,1,0.1,1
"195",195,0,0,0,1,1,0.1,2
"196",196,0,0,0,1,1,0.1,3
"197",197,0,0,0,1,1,0.1,4
"198",198,0,0,0,1,1,0.1,5
"199",199,0,0,0,1,1,0.1,6
"200",200,0,0,0,1,1,0.1,7
"201",201,124,51,73,1,1,0.25,0
"202",202,102,56,46,1,1,0.25,1
"203",203,157,37,120,1,1,0.25,2
"204",204,110,47,63,1,1,0.25,3
"205",205,121,22,99,1,1,0.25,4
"206",206,117,42,75,1,1,0.25,5
"207",207,101,68,33,1,1,0.25,6
"208",208,97,36,61,1,1,0.25,7
"209",209,155,53,102,1,1,0.4,0
"210",210,162,22,140,1,1,0.4,1
"211",211,136,44,92,1,1,0.4,2
"212",212,136,63,73,1,1,0.4,3
"213",213,189,40,149,1,1,0.4,4
"214",214,158,34,124,1,1,0.4,5
"215",215,145,34,111,1,1,0.4,6
"216",216,119,71,48,1,1,0.4,7
"217",217,148,12,136,1,1,0.5,0
"218",218,185,47,138,1,1,0.5,1
"219",219,258,55,203,1,1,0.5,2
"220",220,140,71,69,1,1,0.5,3
"221",221,218,65,153,1,1,0.5,4
"222",222,251,62,189,1,1,0.5,5
"223",223,163,8,155,1,1,0.5,6
"224",224,253,11,242,1,1,0.5,7
"225",225,233,55,178,1,1,0.6,0
"226",226,214,16,198,1,1,0.6,1
"227",227,169,20,149,1,1,0.6,2
"228",228,117,57,60,1,1,0.6,3
"229",229,259,53,206,1,1,0.6,4
"230",230,205,103,102,1,1,0.6,5
"231",231,274,68,206,1,1,0.6,6
"232",232,222,16,206,1,1,0.6,7
"233",233,262,84,178,1,1,0.7,0
"234",234,248,69,179,1,1,0.7,1
"235",235,114,109,5,1,1,0.7,2
"236",236,189,86,103,1,1,0.7,3
"237",237,232,48,184,1,1,0.7,4
"238",238,203,63,140,1,1,0.7,5
"239",239,231,89,142,1,1,0.7,6
"240",240,209,14,195,1,1,0.7,7
"241",241,251,88,163,1,1,0.8,0
"242",242,292,18,274,1,1,0.8,1
"243",243,270,96,174,1,1,0.8,2
"244",244,239,79,160,1,1,0.8,3
"245",245,236,85,151,1,1,0.8,4
"246",246,345,81,264,1,1,0.8,5
"247",247,236,82,154,1,1,0.8,6
"248",248,306,115,191,1,1,0.8,7
"249",249,319,93,226,1,1,1,0
"250",250,225,86,139,1,1,1,1
"251",251,305,98,207,1,1,1,2
"252",252,388,143,245,1,1,1,3
"253",253,329,63,266,1,1,1,4
"254",254,347,97,250,1,1,1,5
"255",255,246,101,145,1,1,1,6
"256",256,381,12,369,1,1,1,7
"257",257,0,0,0,1,2,0.1,0
"258",258,0,0,0,1,2,0.1,1
"259",259,0,0,0,1,2,0.1,2
"260",260,0,0,0,1,2,0.1,3
"261",261,0,0,0,1,2,0.1,4
"262",262,0,0,0,1,2,0.1,5
"263",263,0,0,0,1,2,0.1,6
"264",264,0,0,0,1,2,0.1,7
"265",265,99,64,35,1,2,0.25,0
"266",266,63,46,17,1,2,0.25,1
"267",267,149,60,89,1,2,0.25,2
"268",268,149,30,119,1,2,0.25,3
"269",269,109,66,43,1,2,0.25,4
"270",270,117,43,74,1,2,0.25,5
"271",271,104,38,66,1,2,0.25,6
"272",272,130,28,102,1,2,0.25,7
"273",273,199,48,151,1,2,0.4,0
"274",274,173,45,128,1,2,0.4,1
"275",275,150,42,108,1,2,0.4,2
"276",276,138,52,86,1,2,0.4,3
"277",277,167,55,112,1,2,0.4,4
"278",278,198,28,170,1,2,0.4,5
"279",279,175,22,153,1,2,0.4,6
"280",280,180,46,134,1,2,0.4,7
"281",281,212,64,148,1,2,0.5,0
"282",282,149,51,98,1,2,0.5,1
"283",283,209,14,195,1,2,0.5,2
"284",284,238,41,197,1,2,0.5,3
"285",285,163,37,126,1,2,0.5,4
"286",286,189,35,154,1,2,0.5,5
"287",287,201,23,178,1,2,0.5,6
"288",288,210,16,194,1,2,0.5,7
"289",289,214,73,141,1,2,0.6,0
"290",290,162,64,98,1,2,0.6,1
"291",291,263,59,204,1,2,0.6,2
"292",292,162,10,152,1,2,0.6,3
"293",293,198,24,174,1,2,0.6,4
"294",294,262,27,235,1,2,0.6,5
"295",295,232,68,164,1,2,0.6,6
"296",296,157,55,102,1,2,0.6,7
"297",297,260,52,208,1,2,0.7,0
"298",298,289,87,202,1,2,0.7,1
"299",299,261,34,227,1,2,0.7,2
"300",300,178,36,142,1,2,0.7,3
"301",301,276,80,196,1,2,0.7,4
"302",302,198,59,139,1,2,0.7,5
"303",303,284,61,223,1,2,0.7,6
"304",304,257,89,168,1,2,0.7,7
"305",305,268,49,219,1,2,0.8,0
"306",306,235,25,210,1,2,0.8,1
"307",307,249,39,210,1,2,0.8,2
"308",308,307,32,275,1,2,0.8,3
"309",309,225,51,174,1,2,0.8,4
"310",310,426,20,406,1,2,0.8,5
"311",311,237,17,220,1,2,0.8,6
"312",312,278,92,186,1,2,0.8,7
"313",313,384,75,309,1,2,1,0
"314",314,298,29,269,1,2,1,1
"315",315,362,28,334,1,2,1,2
"316",316,313,8,305,1,2,1,3
"317",317,199,74,125,1,2,1,4
"318",318,345,75,270,1,2,1,5
"319",319,201,81,120,1,2,1,6
"320",320,292,24,268,1,2,1,7
"321",321,0,0,0,1,4,0.1,0
"322",322,0,0,0,1,4,0.1,1
"323",323,0,0,0,1,4,0.1,2
"324",324,0,0,0,1,4,0.1,3
"325",325,0,0,0,1,4,0.1,4
"326",326,0,0,0,1,4,0.1,5
"327",327,0,0,0,1,4,0.1,6
"328",328,0,0,0,1,4,0.1,7
"329",329,185,46,139,1,4,0.25,0
"330",330,135,21,114,1,4,0.25,1
"331",331,99,53,46,1,4,0.25,2
"332",332,122,49,73,1,4,0.25,3
"333",333,138,44,94,1,4,0.25,4
"334",334,119,58,61,1,4,0.25,5
"335",335,111,48,63,1,4,0.25,6
"336",336,138,45,93,1,4,0.25,7
"337",337,110,43,67,1,4,0.4,0
"338",338,186,42,144,1,4,0.4,1
"339",339,169,19,150,1,4,0.4,2
"340",340,164,42,122,1,4,0.4,3
"341",341,185,17,168,1,4,0.4,4
"342",342,123,49,74,1,4,0.4,5
"343",343,196,46,150,1,4,0.4,6
"344",344,161,34,127,1,4,0.4,7
"345",345,195,71,124,1,4,0.5,0
"346",346,176,13,163,1,4,0.5,1
"347",347,157,69,88,1,4,0.5,2
"348",348,131,65,66,1,4,0.5,3
"349",349,220,77,143,1,4,0.5,4
"350",350,175,77,98,1,4,0.5,5
"351",351,262,31,231,1,4,0.5,6
"352",352,178,13,165,1,4,0.5,7
"353",353,173,22,151,1,4,0.6,0
"354",354,197,50,147,1,4,0.6,1
"355",355,208,39,169,1,4,0.6,2
"356",356,256,25,231,1,4,0.6,3
"357",357,238,28,210,1,4,0.6,4
"358",358,219,14,205,1,4,0.6,5
"359",359,135,49,86,1,4,0.6,6
"360",360,222,43,179,1,4,0.6,7
"361",361,163,25,138,1,4,0.7,0
"362",362,243,33,210,1,4,0.7,1
"363",363,241,12,229,1,4,0.7,2
"364",364,203,15,188,1,4,0.7,3
"365",365,149,58,91,1,4,0.7,4
"366",366,280,33,247,1,4,0.7,5
"367",367,222,90,132,1,4,0.7,6
"368",368,306,67,239,1,4,0.7,7
"369",369,284,118,166,1,4,0.8,0
"370",370,314,49,265,1,4,0.8,1
"371",371,307,52,255,1,4,0.8,2
"372",372,231,110,121,1,4,0.8,3
"373",373,283,13,270,1,4,0.8,4
"374",374,257,13,244,1,4,0.8,5
"375",375,278,35,243,1,4,0.8,6
"376",376,214,49,165,1,4,0.8,7
"377",377,411,113,298,1,4,1,0
"378",378,273,141,132,1,4,1,1
"379",379,323,50,273,1,4,1,2
"380",380,350,22,328,1,4,1,3
"381",381,310,46,264,1,4,1,4
"382",382,297,11,286,1,4,1,5
"383",383,314,97,217,1,4,1,6
"384",384,346,136,210,1,4,1,7
"385",385,0,0,0,1,8,0.1,0
"386",386,0,0,0,1,8,0.1,1
