"run","immigration","infert","supply","push","randomSeed","precFlux","stelaeculty","canalDeath","canalDecay","sust","drought","killMaya","mortality","fort","precMean"
4,1,150,10000.0,2.0,-605822283,0.0,6.0,1.0,0.0,0.1,3.0,0.0,50000.0,500.0,8.0
12,1,150,10000.0,2.0,-605387058,0.0,6.0,1.0,0.0,0.25,3.0,0.0,50000.0,500.0,8.0
20,1,150,10000.0,2.0,-604950491,0.0,6.0,1.0,0.0,0.4,3.0,0.0,50000.0,500.0,8.0
28,1,150,10000.0,2.0,-604519404,0.0,6.0,1.0,0.0,0.5,3.0,0.0,50000.0,500.0,8.0
36,1,150,10000.0,2.0,-604084652,0.0,6.0,1.0,0.0,0.6,3.0,0.0,50000.0,500.0,8.0
44,1,150,10000.0,2.0,-603648332,0.0,6.0,1.0,0.0,0.7,3.0,0.0,50000.0,500.0,8.0
52,1,150,10000.0,2.0,-603210126,0.0,6.0,1.0,0.0,0.8,3.0,0.0,50000.0,500.0,8.0
60,1,150,10000.0,2.0,-602772826,0.0,6.0,1.0,0.0,1.0,3.0,0.0,50000.0,500.0,8.0
68,1,150,10000.0,2.0,-602331521,0.0,6.0,1.0,0.25,0.1,3.0,0.0,50000.0,500.0,8.0
76,1,150,10000.0,2.0,-601898955,0.0,6.0,1.0,0.25,0.25,3.0,0.0,50000.0,500.0,8.0
84,1,150,10000.0,2.0,-601463493,0.0,6.0,1.0,0.25,0.4,3.0,0.0,50000.0,500.0,8.0
92,1,150,10000.0,2.0,-601023862,0.0,6.0,1.0,0.25,0.5,3.0,0.0,50000.0,500.0,8.0
100,1,150,10000.0,2.0,-600589970,0.0,6.0,1.0,0.25,0.6,3.0,0.0,50000.0,500.0,8.0
108,1,150,10000.0,2.0,-600145857,0.0,6.0,1.0,0.25,0.7,3.0,0.0,50000.0,500.0,8.0
116,1,150,10000.0,2.0,-599711129,0.0,6.0,1.0,0.25,0.8,3.0,0.0,50000.0,500.0,8.0
124,1,150,10000.0,2.0,-599273100,0.0,6.0,1.0,0.25,1.0,3.0,0.0,50000.0,500.0,8.0
132,1,150,10000.0,2.0,-598834157,0.0,6.0,1.0,0.5,0.1,3.0,0.0,50000.0,500.0,8.0
