"run","immigration","infert","supply","push","randomSeed","precFlux","stelaeculty","canalDeath","canalDecay","sust","drought","killMaya","mortality","fort","precMean"
3,1,150,10000.0,2.0,-605822428,0.0,6.0,1.0,0.0,0.1,2.0,0.0,50000.0,500.0,8.0
11,1,150,10000.0,2.0,-605407771,0.0,6.0,1.0,0.0,0.25,2.0,0.0,50000.0,500.0,8.0
19,1,150,10000.0,2.0,-605001156,0.0,6.0,1.0,0.0,0.4,2.0,0.0,50000.0,500.0,8.0
27,1,150,10000.0,2.0,-604589791,0.0,6.0,1.0,0.0,0.5,2.0,0.0,50000.0,500.0,8.0
35,1,150,10000.0,2.0,-604178449,0.0,6.0,1.0,0.0,0.6,2.0,0.0,50000.0,500.0,8.0
43,1,150,10000.0,2.0,-603763072,0.0,6.0,1.0,0.0,0.7,2.0,0.0,50000.0,500.0,8.0
51,1,150,10000.0,2.0,-603348308,0.0,6.0,1.0,0.0,0.8,2.0,0.0,50000.0,500.0,8.0
59,1,150,10000.0,2.0,-602933810,0.0,6.0,1.0,0.0,1.0,2.0,0.0,50000.0,500.0,8.0
67,1,150,10000.0,2.0,-602517880,0.0,6.0,1.0,0.25,0.1,2.0,0.0,50000.0,500.0,8.0
75,1,150,10000.0,2.0,-602096597,0.0,6.0,1.0,0.25,0.25,2.0,0.0,50000.0,500.0,8.0
83,1,150,10000.0,2.0,-601682583,0.0,6.0,1.0,0.25,0.4,2.0,0.0,50000.0,500.0,8.0
91,1,150,10000.0,2.0,-601260708,0.0,6.0,1.0,0.25,0.5,2.0,0.0,50000.0,500.0,8.0
99,1,150,10000.0,2.0,-600850553,0.0,6.0,1.0,0.25,0.6,2.0,0.0,50000.0,500.0,8.0
107,1,150,10000.0,2.0,-600434319,0.0,6.0,1.0,0.25,0.7,2.0,0.0,50000.0,500.0,8.0
115,1,150,10000.0,2.0,-600019824,0.0,6.0,1.0,0.25,0.8,2.0,0.0,50000.0,500.0,8.0
123,1,150,10000.0,2.0,-599606929,0.0,6.0,1.0,0.25,1.0,2.0,0.0,50000.0,500.0,8.0
131,1,150,10000.0,2.0,-599189649,0.0,6.0,1.0,0.5,0.1,2.0,0.0,50000.0,500.0,8.0
139,1,150,10000.0,2.0,-598784028,0.0,6.0,1.0,0.5,0.25,2.0,0.0,50000.0,500.0,8.0
147,1,150,10000.0,2.0,-598375984,0.0,6.0,1.0,0.5,0.4,2.0,0.0,50000.0,500.0,8.0
155,1,150,10000.0,2.0,-597965615,0.0,6.0,1.0,0.5,0.5,2.0,0.0,50000.0,500.0,8.0
163,1,150,10000.0,2.0,-597546824,0.0,6.0,1.0,0.5,0.6,2.0,0.0,50000.0,500.0,8.0
171,1,150,10000.0,2.0,-597130611,0.0,6.0,1.0,0.5,0.7,2.0,0.0,50000.0,500.0,8.0
179,1,150,10000.0,2.0,-596710240,0.0,6.0,1.0,0.5,0.8,2.0,0.0,50000.0,500.0,8.0
187,1,150,10000.0,2.0,-596252142,0.0,6.0,1.0,0.5,1.0,2.0,0.0,50000.0,500.0,8.0
195,1,150,10000.0,2.0,-595800127,0.0,6.0,1.0,1.0,0.1,2.0,0.0,50000.0,500.0,8.0
203,1,150,10000.0,2.0,-595359346,0.0,6.0,1.0,1.0,0.25,2.0,0.0,50000.0,500.0,8.0
211,1,150,10000.0,2.0,-594910760,0.0,6.0,1.0,1.0,0.4,2.0,0.0,50000.0,500.0,8.0
219,1,150,10000.0,2.0,-594467725,0.0,6.0,1.0,1.0,0.5,2.0,0.0,50000.0,500.0,8.0
227,1,150,10000.0,2.0,-594008562,0.0,6.0,1.0,1.0,0.6,2.0,0.0,50000.0,500.0,8.0
235,1,150,10000.0,2.0,-593559801,0.0,6.0,1.0,1.0,0.7,2.0,0.0,50000.0,500.0,8.0
243,1,150,10000.0,2.0,-593112230,0.0,6.0,1.0,1.0,0.8,2.0,0.0,50000.0,500.0,8.0
251,1,150,10000.0,2.0,-592656864,0.0,6.0,1.0,1.0,1.0,2.0,0.0,50000.0,500.0,8.0
259,1,150,10000.0,2.0,-592202405,0.0,6.0,1.0,2.0,0.1,2.0,0.0,50000.0,500.0,8.0
267,1,150,10000.0,2.0,-591752820,0.0,6.0,1.0,2.0,0.25,2.0,0.0,50000.0,500.0,8.0
275,1,150,10000.0,2.0,-591307250,0.0,6.0,1.0,2.0,0.4,2.0,0.0,50000.0,500.0,8.0
283,1,150,10000.0,2.0,-590862788,0.0,6.0,1.0,2.0,0.5,2.0,0.0,50000.0,500.0,8.0
291,1,150,10000.0,2.0,-590414431,0.0,6.0,1.0,2.0,0.6,2.0,0.0,50000.0,500.0,8.0
299,1,150,10000.0,2.0,-589965205,0.0,6.0,1.0,2.0,0.7,2.0,0.0,50000.0,500.0,8.0
307,1,150,10000.0,2.0,-589515294,0.0,6.0,1.0,2.0,0.8,2.0,0.0,50000.0,500.0,8.0
315,1,150,10000.0,2.0,-589061039,0.0,6.0,1.0,2.0,1.0,2.0,0.0,50000.0,500.0,8.0
