"run","immigration","infert","supply","push","randomSeed","precFlux","stelaeculty","canalDeath","canalDecay","sust","drought","killMaya","mortality","fort","precMean"
6,1,150,10000.0,2.0,-605822472,0.0,6.0,1.0,0.0,0.1,5.0,0.0,50000.0,500.0,8.0
14,1,150,10000.0,2.0,-605395670,0.0,6.0,1.0,0.0,0.25,5.0,0.0,50000.0,500.0,8.0
22,1,150,10000.0,2.0,-604964101,0.0,6.0,1.0,0.0,0.4,5.0,0.0,50000.0,500.0,8.0
30,1,150,10000.0,2.0,-604531391,0.0,6.0,1.0,0.0,0.5,5.0,0.0,50000.0,500.0,8.0
38,1,150,10000.0,2.0,-604100888,0.0,6.0,1.0,0.0,0.6,5.0,0.0,50000.0,500.0,8.0
46,1,150,10000.0,2.0,-603670409,0.0,6.0,1.0,0.0,0.7,5.0,0.0,50000.0,500.0,8.0
54,1,150,10000.0,2.0,-603237749,0.0,6.0,1.0,0.0,0.8,5.0,0.0,50000.0,500.0,8.0
62,1,150,10000.0,2.0,-602806091,0.0,6.0,1.0,0.0,1.0,5.0,0.0,50000.0,500.0,8.0
70,1,150,10000.0,2.0,-602369121,0.0,6.0,1.0,0.25,0.1,5.0,0.0,50000.0,500.0,8.0
78,1,150,10000.0,2.0,-601935630,0.0,6.0,1.0,0.25,0.25,5.0,0.0,50000.0,500.0,8.0
86,1,150,10000.0,2.0,-601503916,0.0,6.0,1.0,0.25,0.4,5.0,0.0,50000.0,500.0,8.0
94,1,150,10000.0,2.0,-601067873,0.0,6.0,1.0,0.25,0.5,5.0,0.0,50000.0,500.0,8.0
102,1,150,10000.0,2.0,-600638540,0.0,6.0,1.0,0.25,0.6,5.0,0.0,50000.0,500.0,8.0
110,1,150,10000.0,2.0,-600205419,0.0,6.0,1.0,0.25,0.7,5.0,0.0,50000.0,500.0,8.0
118,1,150,10000.0,2.0,-599776577,0.0,6.0,1.0,0.25,0.8,5.0,0.0,50000.0,500.0,8.0
126,1,150,10000.0,2.0,-599340627,0.0,6.0,1.0,0.25,1.0,5.0,0.0,50000.0,500.0,8.0
134,1,150,10000.0,2.0,-598909330,0.0,6.0,1.0,0.5,0.1,5.0,0.0,50000.0,500.0,8.0
142,1,150,10000.0,2.0,-598479838,0.0,6.0,1.0,0.5,0.25,5.0,0.0,50000.0,500.0,8.0
150,1,150,10000.0,2.0,-598051864,0.0,6.0,1.0,0.5,0.4,5.0,0.0,50000.0,500.0,8.0
158,1,150,10000.0,2.0,-597621094,0.0,6.0,1.0,0.5,0.5,5.0,0.0,50000.0,500.0,8.0
166,1,150,10000.0,2.0,-597184079,0.0,6.0,1.0,0.5,0.6,5.0,0.0,50000.0,500.0,8.0
174,1,150,10000.0,2.0,-596741891,0.0,6.0,1.0,0.5,0.7,5.0,0.0,50000.0,500.0,8.0
182,1,150,10000.0,2.0,-596304096,0.0,6.0,1.0,0.5,0.8,5.0,0.0,50000.0,500.0,8.0
190,1,150,10000.0,2.0,-595860833,0.0,6.0,1.0,0.5,1.0,5.0,0.0,50000.0,500.0,8.0
198,1,150,10000.0,2.0,-595430926,0.0,6.0,1.0,1.0,0.1,5.0,0.0,50000.0,500.0,8.0
206,1,150,10000.0,2.0,-594999821,0.0,6.0,1.0,1.0,0.25,5.0,0.0,50000.0,500.0,8.0
214,1,150,10000.0,2.0,-594571035,0.0,6.0,1.0,1.0,0.4,5.0,0.0,50000.0,500.0,8.0
222,1,150,10000.0,2.0,-594138558,0.0,6.0,1.0,1.0,0.5,5.0,0.0,50000.0,500.0,8.0
230,1,150,10000.0,2.0,-593706279,0.0,6.0,1.0,1.0,0.6,5.0,0.0,50000.0,500.0,8.0
238,1,150,10000.0,2.0,-593276862,0.0,6.0,1.0,1.0,0.7,5.0,0.0,50000.0,500.0,8.0
246,1,150,10000.0,2.0,-592843470,0.0,6.0,1.0,1.0,0.8,5.0,0.0,50000.0,500.0,8.0
254,1,150,10000.0,2.0,-592406951,0.0,6.0,1.0,1.0,1.0,5.0,0.0,50000.0,500.0,8.0
262,1,150,10000.0,2.0,-591974234,0.0,6.0,1.0,2.0,0.1,5.0,0.0,50000.0,500.0,8.0
270,1,150,10000.0,2.0,-591544329,0.0,6.0,1.0,2.0,0.25,5.0,0.0,50000.0,500.0,8.0
278,1,150,10000.0,2.0,-591106655,0.0,6.0,1.0,2.0,0.4,5.0,0.0,50000.0,500.0,8.0
286,1,150,10000.0,2.0,-590670572,0.0,6.0,1.0,2.0,0.5,5.0,0.0,50000.0,500.0,8.0
294,1,150,10000.0,2.0,-590240974,0.0,6.0,1.0,2.0,0.6,5.0,0.0,50000.0,500.0,8.0
302,1,150,10000.0,2.0,-589803499,0.0,6.0,1.0,2.0,0.7,5.0,0.0,50000.0,500.0,8.0
310,1,150,10000.0,2.0,-589365521,0.0,6.0,1.0,2.0,0.8,5.0,0.0,50000.0,500.0,8.0
