"run","immigration","infert","supply","push","randomSeed","precFlux","stelaeculty","canalDeath","canalDecay","sust","drought","killMaya","mortality","fort","precMean"
7,1,150,10000.0,2.0,-605823140,0.0,6.0,1.0,0.0,0.1,6.0,0.0,50000.0,500.0,8.0
15,1,150,10000.0,2.0,-605406897,0.0,6.0,1.0,0.0,0.25,6.0,0.0,50000.0,500.0,8.0
23,1,150,10000.0,2.0,-604990355,0.0,6.0,1.0,0.0,0.4,6.0,0.0,50000.0,500.0,8.0
31,1,150,10000.0,2.0,-604578519,0.0,6.0,1.0,0.0,0.5,6.0,0.0,50000.0,500.0,8.0
39,1,150,10000.0,2.0,-604163593,0.0,6.0,1.0,0.0,0.6,6.0,0.0,50000.0,500.0,8.0
47,1,150,10000.0,2.0,-603745970,0.0,6.0,1.0,0.0,0.7,6.0,0.0,50000.0,500.0,8.0
55,1,150,10000.0,2.0,-603326187,0.0,6.0,1.0,0.0,0.8,6.0,0.0,50000.0,500.0,8.0
63,1,150,10000.0,2.0,-602908586,0.0,6.0,1.0,0.0,1.0,6.0,0.0,50000.0,500.0,8.0
71,1,150,10000.0,2.0,-602488853,0.0,6.0,1.0,0.25,0.1,6.0,0.0,50000.0,500.0,8.0
79,1,150,10000.0,2.0,-602069741,0.0,6.0,1.0,0.25,0.25,6.0,0.0,50000.0,500.0,8.0
87,1,150,10000.0,2.0,-601653212,0.0,6.0,1.0,0.25,0.4,6.0,0.0,50000.0,500.0,8.0
95,1,150,10000.0,2.0,-601232332,0.0,6.0,1.0,0.25,0.5,6.0,0.0,50000.0,500.0,8.0
103,1,150,10000.0,2.0,-600818237,0.0,6.0,1.0,0.25,0.6,6.0,0.0,50000.0,500.0,8.0
111,1,150,10000.0,2.0,-600401122,0.0,6.0,1.0,0.25,0.7,6.0,0.0,50000.0,500.0,8.0
119,1,150,10000.0,2.0,-599981951,0.0,6.0,1.0,0.25,0.8,6.0,0.0,50000.0,500.0,8.0
127,1,150,10000.0,2.0,-599563918,0.0,6.0,1.0,0.25,1.0,6.0,0.0,50000.0,500.0,8.0
135,1,150,10000.0,2.0,-599143518,0.0,6.0,1.0,0.5,0.1,6.0,0.0,50000.0,500.0,8.0
