"run","immigration","infert","supply","push","randomSeed","precFlux","stelaeculty","canalDeath","canalDecay","sust","drought","killMaya","mortality","fort","precMean"
357,1,150,10000.0,2.0,-586722353,0.0,6.0,1.0,4.0,0.6,4.0,0.0,50000.0,500.0,8.0
365,1,150,10000.0,2.0,-586285969,0.0,6.0,1.0,4.0,0.7,4.0,0.0,50000.0,500.0,8.0
373,1,150,10000.0,2.0,-585848756,0.0,6.0,1.0,4.0,0.8,4.0,0.0,50000.0,500.0,8.0
381,1,150,10000.0,2.0,-585414131,0.0,6.0,1.0,4.0,1.0,4.0,0.0,50000.0,500.0,8.0
389,1,150,10000.0,2.0,-584981001,0.0,6.0,1.0,8.0,0.1,4.0,0.0,50000.0,500.0,8.0
397,1,150,10000.0,2.0,-584558289,0.0,6.0,1.0,8.0,0.25,4.0,0.0,50000.0,500.0,8.0
405,1,150,10000.0,2.0,-584126195,0.0,6.0,1.0,8.0,0.4,4.0,0.0,50000.0,500.0,8.0
413,1,150,10000.0,2.0,-583696325,0.0,6.0,1.0,8.0,0.5,4.0,0.0,50000.0,500.0,8.0
421,1,150,10000.0,2.0,-583257805,0.0,6.0,1.0,8.0,0.6,4.0,0.0,50000.0,500.0,8.0
429,1,150,10000.0,2.0,-582821379,0.0,6.0,1.0,8.0,0.7,4.0,0.0,50000.0,500.0,8.0
437,1,150,10000.0,2.0,-582386144,0.0,6.0,1.0,8.0,0.8,4.0,0.0,50000.0,500.0,8.0
445,1,150,10000.0,2.0,-581952159,0.0,6.0,1.0,8.0,1.0,4.0,0.0,50000.0,500.0,8.0
453,1,150,10000.0,2.0,-581514242,0.0,6.0,1.0,16.0,0.1,4.0,0.0,50000.0,500.0,8.0
461,1,150,10000.0,2.0,-581083640,0.0,6.0,1.0,16.0,0.25,4.0,0.0,50000.0,500.0,8.0
469,1,150,10000.0,2.0,-580649812,0.0,6.0,1.0,16.0,0.4,4.0,0.0,50000.0,500.0,8.0
477,1,150,10000.0,2.0,-580220075,0.0,6.0,1.0,16.0,0.5,4.0,0.0,50000.0,500.0,8.0
485,1,150,10000.0,2.0,-579785883,0.0,6.0,1.0,16.0,0.6,4.0,0.0,50000.0,500.0,8.0
493,1,150,10000.0,2.0,-579353183,0.0,6.0,1.0,16.0,0.7,4.0,0.0,50000.0,500.0,8.0
501,1,150,10000.0,2.0,-578924890,0.0,6.0,1.0,16.0,0.8,4.0,0.0,50000.0,500.0,8.0
509,1,150,10000.0,2.0,-578493987,0.0,6.0,1.0,16.0,1.0,4.0,0.0,50000.0,500.0,8.0
517,1,150,10000.0,2.0,-578055280,0.0,6.0,2.0,0.0,0.1,4.0,0.0,50000.0,500.0,8.0
525,1,150,10000.0,2.0,-577625026,0.0,6.0,2.0,0.0,0.25,4.0,0.0,50000.0,500.0,8.0
533,1,150,10000.0,2.0,-577192892,0.0,6.0,2.0,0.0,0.4,4.0,0.0,50000.0,500.0,8.0
541,1,150,10000.0,2.0,-576759298,0.0,6.0,2.0,0.0,0.5,4.0,0.0,50000.0,500.0,8.0
549,1,150,10000.0,2.0,-576323496,0.0,6.0,2.0,0.0,0.6,4.0,0.0,50000.0,500.0,8.0
557,1,150,10000.0,2.0,-575884419,0.0,6.0,2.0,0.0,0.7,4.0,0.0,50000.0,500.0,8.0
565,1,150,10000.0,2.0,-575451178,0.0,6.0,2.0,0.0,0.8,4.0,0.0,50000.0,500.0,8.0
573,1,150,10000.0,2.0,-575019884,0.0,6.0,2.0,0.0,1.0,4.0,0.0,50000.0,500.0,8.0
581,1,150,10000.0,2.0,-574584203,0.0,6.0,2.0,0.25,0.1,4.0,0.0,50000.0,500.0,8.0
589,1,150,10000.0,2.0,-574152991,0.0,6.0,2.0,0.25,0.25,4.0,0.0,50000.0,500.0,8.0
597,1,150,10000.0,2.0,-573723402,0.0,6.0,2.0,0.25,0.4,4.0,0.0,50000.0,500.0,8.0
605,1,150,10000.0,2.0,-573295064,0.0,6.0,2.0,0.25,0.5,4.0,0.0,50000.0,500.0,8.0
613,1,150,10000.0,2.0,-572861107,0.0,6.0,2.0,0.25,0.6,4.0,0.0,50000.0,500.0,8.0
621,1,150,10000.0,2.0,-572434892,0.0,6.0,2.0,0.25,0.7,4.0,0.0,50000.0,500.0,8.0
629,1,150,10000.0,2.0,-571997405,0.0,6.0,2.0,0.25,0.8,4.0,0.0,50000.0,500.0,8.0
637,1,150,10000.0,2.0,-571557646,0.0,6.0,2.0,0.25,1.0,4.0,0.0,50000.0,500.0,8.0
645,1,150,10000.0,2.0,-571118237,0.0,6.0,2.0,0.5,0.1,4.0,0.0,50000.0,500.0,8.0
653,1,150,10000.0,2.0,-570681054,0.0,6.0,2.0,0.5,0.25,4.0,0.0,50000.0,500.0,8.0
661,1,150,10000.0,2.0,-570245820,0.0,6.0,2.0,0.5,0.4,4.0,0.0,50000.0,500.0,8.0
669,1,150,10000.0,2.0,-569809620,0.0,6.0,2.0,0.5,0.5,4.0,0.0,50000.0,500.0,8.0
677,1,150,10000.0,2.0,-569372531,0.0,6.0,2.0,0.5,0.6,4.0,0.0,50000.0,500.0,8.0
685,1,150,10000.0,2.0,-568936810,0.0,6.0,2.0,0.5,0.7,4.0,0.0,50000.0,500.0,8.0
693,1,150,10000.0,2.0,-568497621,0.0,6.0,2.0,0.5,0.8,4.0,0.0,50000.0,500.0,8.0
701,1,150,10000.0,2.0,-568064593,0.0,6.0,2.0,0.5,1.0,4.0,0.0,50000.0,500.0,8.0
709,1,150,10000.0,2.0,-567629767,0.0,6.0,2.0,1.0,0.1,4.0,0.0,50000.0,500.0,8.0
717,1,150,10000.0,2.0,-567198794,0.0,6.0,2.0,1.0,0.25,4.0,0.0,50000.0,500.0,8.0
725,1,150,10000.0,2.0,-566768461,0.0,6.0,2.0,1.0,0.4,4.0,0.0,50000.0,500.0,8.0
733,1,150,10000.0,2.0,-566336995,0.0,6.0,2.0,1.0,0.5,4.0,0.0,50000.0,500.0,8.0
741,1,150,10000.0,2.0,-565910634,0.0,6.0,2.0,1.0,0.6,4.0,0.0,50000.0,500.0,8.0
749,1,150,10000.0,2.0,-565477212,0.0,6.0,2.0,1.0,0.7,4.0,0.0,50000.0,500.0,8.0
