"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","fecundityDisturbance","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","costDisturbance","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","trafficLongCoefficient","fecundityDecRate","costMinFactor","fecundityRegen","fecundityReck","trafficShortCoefficient","migrationDistanceThreshold"
90,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683249328,0.1,0.7,2.0,0.03,1.0,0.2,0.05,9.9,0.05,100.0
5,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683012574,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.4,0.05,100.0
12,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683029612,0.1,0.7,2.0,0.03,1.0,0.2,0.05,2.1,0.05,100.0
19,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683050353,0.1,0.7,2.0,0.03,1.0,0.2,0.05,2.8,0.05,100.0
26,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683077792,0.1,0.7,2.0,0.03,1.0,0.2,0.05,3.5,0.05,100.0
33,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683102182,0.1,0.7,2.0,0.03,1.0,0.2,0.05,4.2,0.05,100.0
40,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683127484,0.1,0.7,2.0,0.03,1.0,0.2,0.05,4.9,0.05,100.0
47,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683148025,0.1,0.7,2.0,0.03,1.0,0.2,0.05,5.6,0.05,100.0
54,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683172073,0.1,0.7,2.0,0.03,1.0,0.2,0.05,6.3,0.05,100.0
61,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683191276,0.1,0.7,2.0,0.03,1.0,0.2,0.05,7.0,0.05,100.0
68,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683214900,0.1,0.7,2.0,0.03,1.0,0.2,0.05,7.7,0.05,100.0
75,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683235636,0.1,0.7,2.0,0.03,1.0,0.2,0.05,8.4,0.05,100.0
82,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683255607,0.1,0.7,2.0,0.03,1.0,0.2,0.05,9.1,0.05,100.0
89,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683275594,0.1,0.7,2.0,0.03,1.0,0.2,0.05,9.8,0.05,100.0
4,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683012633,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.3,0.05,100.0
11,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683032151,0.1,0.7,2.0,0.03,1.0,0.2,0.05,2.0,0.05,100.0
18,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683053597,0.1,0.7,2.0,0.03,1.0,0.2,0.05,2.7,0.05,100.0
25,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683076080,0.1,0.7,2.0,0.03,1.0,0.2,0.05,3.4,0.05,100.0
32,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683096090,0.1,0.7,2.0,0.03,1.0,0.2,0.05,4.1,0.05,100.0
39,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683111578,0.1,0.7,2.0,0.03,1.0,0.2,0.05,4.8,0.05,100.0
46,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683133069,0.1,0.7,2.0,0.03,1.0,0.2,0.05,5.5,0.05,100.0
53,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683151034,0.1,0.7,2.0,0.03,1.0,0.2,0.05,6.2,0.05,100.0
60,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683169216,0.1,0.7,2.0,0.03,1.0,0.2,0.05,6.9,0.05,100.0
67,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683190199,0.1,0.7,2.0,0.03,1.0,0.2,0.05,7.6,0.05,100.0
74,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683208655,0.1,0.7,2.0,0.03,1.0,0.2,0.05,8.3,0.05,100.0
81,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683229036,0.1,0.7,2.0,0.03,1.0,0.2,0.05,9.0,0.05,100.0
88,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683248182,0.1,0.7,2.0,0.03,1.0,0.2,0.05,9.7,0.05,100.0
