"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","fecundityDisturbance","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","costDisturbance","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","trafficLongCoefficient","fecundityDecRate","costMinFactor","fecundityReck","fecundityRegen","trafficShortCoefficient","migrationDistanceThreshold"
83,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692987737,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.41,0.05,100.0
90,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692996274,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.445,0.05,100.0
97,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1693004816,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.48,0.05,100.0
5,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692899519,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.02,0.05,100.0
12,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692906218,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.055,0.05,100.0
19,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692911682,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.09,0.05,100.0
26,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692917568,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.125,0.05,100.0
33,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692923918,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.16,0.05,100.0
40,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692930867,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.195,0.05,100.0
47,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692937926,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.23,0.05,100.0
54,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692946082,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.265,0.05,100.0
61,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692955115,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.3,0.05,100.0
68,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692964023,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.335,0.05,100.0
75,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692973969,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.37,0.05,100.0
82,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692983814,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.405,0.05,100.0
89,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692992616,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.44,0.05,100.0
96,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1693002874,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.475,0.05,100.0
4,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692898919,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.015,0.05,100.0
11,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692905898,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.05,0.05,100.0
18,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692911259,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.085,0.05,100.0
25,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692917580,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.12,0.05,100.0
32,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692923879,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.155,0.05,100.0
39,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692930352,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.19,0.05,100.0
46,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692937881,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.225,0.05,100.0
53,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692945865,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.26,0.05,100.0
60,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692954900,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.295,0.05,100.0
67,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692964394,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.33,0.05,100.0
74,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692973920,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.365,0.05,100.0
81,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692982592,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.4,0.05,100.0
88,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692991198,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.435,0.05,100.0
95,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1693001245,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.47,0.05,100.0
3,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692900855,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.01,0.05,100.0
10,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692907093,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.045,0.05,100.0
17,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692912992,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.08,0.05,100.0
24,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692918911,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.115,0.05,100.0
31,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692924877,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.15,0.05,100.0
38,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692931430,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.185,0.05,100.0
45,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692938582,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.22,0.05,100.0
52,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692947033,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.255,0.05,100.0
59,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692956109,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.29,0.05,100.0
66,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692965684,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.325,0.05,100.0
73,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692975530,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.36,0.05,100.0
80,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692985288,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.395,0.05,100.0
87,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692994340,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.43,0.05,100.0
94,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1693004274,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.465,0.05,100.0
