"","pop1","pop2","dif","run"
"290",147,15,132,84
"291",271,66,205,92
"292",172,84,88,100
"293",266,88,178,108
"294",283,107,176,116
"295",286,101,185,124
"296",0,0,0,132
"297",101,21,80,140
"298",122,23,99,148
"299",197,83,114,156
"300",230,77,153,164
"301",272,70,202,172
"302",315,48,267,180
"303",301,81,220,188
"304",0,0,0,196
"305",110,47,63,204
"306",136,63,73,212
"307",140,71,69,220
"308",117,57,60,228
"309",189,86,103,236
"310",239,79,160,244
"311",388,143,245,252
"312",0,0,0,260
"313",149,30,119,268
"314",138,52,86,276
"315",238,41,197,284
"316",162,10,152,292
"317",178,36,142,300
"318",307,32,275,308
"319",313,8,305,316
"320",0,0,0,324
"321",122,49,73,332
"322",164,42,122,340
"323",131,65,66,348
"324",256,25,231,356
"325",203,15,188,364
"326",231,110,121,372
"327",350,22,328,380
"328",0,0,0,388
"329",134,37,97,396
"330",180,27,153,404
"331",187,17,170,412
"332",258,20,238,420
"333",189,52,137,428
"334",310,53,257,436
"335",381,28,353,444
"336",0,0,0,452
"337",127,43,84,460
"338",167,52,115,468
"339",201,65,136,476
"340",214,6,208,484
"341",224,91,133,492
"342",259,15,244,500
"343",362,94,268,508
"344",0,0,0,516
"345",142,72,70,524
"346",133,69,64,532
"347",170,56,114,540
"348",174,71,103,548
"349",333,68,265,556
"350",246,106,140,564
"351",317,125,192,572
"352",0,0,0,580
"353",158,56,102,588
"354",167,61,106,596
"355",196,61,135,604
"356",203,45,158,612
"357",243,89,154,620
"358",299,67,232,628
"359",311,122,189,636
"360",0,0,0,644
"361",173,22,151,652
"362",136,38,98,660
"363",193,59,134,668
"364",233,81,152,676
"365",213,92,121,684
"366",278,41,237,692
"367",372,105,267,700
"368",0,0,0,708
"369",129,55,74,716
"370",186,33,153,724
"371",185,60,125,732
"372",247,69,178,740
"373",217,48,169,748
"374",0,0,0,5
"375",110,55,55,13
"376",154,44,110,21
"377",250,60,190,29
"378",209,35,174,37
"379",261,80,181,45
"380",214,98,116,53
"381",447,72,375,61
"382",0,0,0,69
"383",120,31,89,77
"384",171,22,149,85
"385",167,41,126,93
"386",231,77,154,101
"387",272,38,234,109
"388",293,79,214,117
"389",369,66,303,125
"390",0,0,0,133
"391",154,45,109,141
