"run","uplandAmount","costPromotiveDecRate","costDemotiveRes","disturbanceDelay","infert","costDemotiveDecRate","costPromotiveIncRate","fecundityPromotiveIncRate","obTargetID","obSourceID","fecundityPromotiveRes","trafficPromotiveLongCoefficient","observedType","costDemotiveMax","fecundityPromotiveMax","importsCoefficient","trafficPromotiveShortCoefficient","importsYIntercept","trafficDemotiveLongCoefficient","fecundityDemotiveIncRate","costPromotiveRes","fecundityDemotiveDecRate","fecundityDemotiveMax","fecundityDemotiveRes","costPromotiveMax","randomSeed","fecundityPromotiveDecRate","trafficDemotiveShortCoefficient","costDemotiveIncRate","disturbanceRemovalChance"
1,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,-2147483648,0.1,2.0,0.1,0.0
2,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,91322239,0.1,2.0,0.1,0.075
3,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,-2147483648,0.1,2.0,0.1,0.15
4,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,-2147483648,0.1,2.0,0.1,0.22499999999999998
5,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,73351003,0.1,2.0,0.1,0.3
6,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.0,0.1,10.0,0.5,0.5,-2147483648,0.1,2.0,0.1,0.15
7,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.25,0.1,10.0,0.5,0.5,-2147483648,0.1,2.0,0.1,0.15
8,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,-2147483648,0.1,2.0,0.1,0.15
9,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.75,0.1,10.0,0.5,0.5,-2147483648,0.1,2.0,0.1,0.15
10,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,1.0,0.1,10.0,0.5,0.5,-2147483648,0.1,2.0,0.1,0.15
