"run","uplandAmount","costPromotiveDecRate","costDemotiveRes","disturbanceDelay","infert","costDemotiveDecRate","costPromotiveIncRate","fecundityPromotiveIncRate","obTargetID","obSourceID","fecundityPromotiveRes","trafficPromotiveLongCoefficient","observedType","costDemotiveMax","fecundityPromotiveMax","importsCoefficient","trafficPromotiveShortCoefficient","importsYIntercept","trafficDemotiveLongCoefficient","fecundityDemotiveIncRate","costPromotiveRes","fecundityDemotiveDecRate","fecundityDemotiveMax","fecundityDemotiveRes","costPromotiveMax","randomSeed","fecundityPromotiveDecRate","trafficDemotiveShortCoefficient","costDemotiveIncRate","disturbanceRemovalChance"
1,130,1.0,0.5,0,15,1.0,0.02,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,0.2,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,1206820548,0.1,1.0,0.01,0.0
2,130,1.0,0.5,0,15,1.0,0.02,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,0.2,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,-2147483648,0.1,1.0,0.01,0.002013422818791946
3,130,1.0,0.5,0,15,1.0,0.02,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,0.2,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,-2147483648,0.1,1.0,0.01,0.004026845637583892
4,130,1.0,0.5,0,15,1.0,0.02,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,0.2,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,2014450251,0.1,1.0,0.01,0.006040268456375838
5,130,1.0,0.5,0,15,1.0,0.02,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,0.2,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,692475507,0.1,1.0,0.01,0.008053691275167784
6,130,1.0,0.5,0,15,1.0,0.02,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,0.2,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,1368498962,0.1,1.0,0.01,0.010067114093959731
7,130,1.0,0.5,0,15,1.0,0.02,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,0.2,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,-2147483648,0.1,1.0,0.01,0.012080536912751676
8,130,1.0,0.5,0,15,1.0,0.02,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,0.2,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,-2147483648,0.1,1.0,0.01,0.014093959731543622
9,130,1.0,0.5,0,15,1.0,0.02,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,0.2,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,-2147483648,0.1,1.0,0.01,0.01610738255033557
10,130,1.0,0.5,0,15,1.0,0.02,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,0.2,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,-2147483648,0.1,1.0,0.01,0.018120805369127514
