"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","fecundityDisturbance","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","costDisturbance","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","trafficLongCoefficient","fecundityDecRate","costMinFactor","fecundityRegen","fecundityReck","trafficShortCoefficient","migrationDistanceThreshold"
7,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.004,0.0,3.33E-4,2.0,-1869923012,0.1,0.0,2.0,0.03,2.0,0.2,0.1,1.0,0.05,100.0
14,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.004,0.0,3.33E-4,2.0,-1869914278,0.1,0.0,2.0,0.03,2.0,0.2,0.2,3.0,0.05,100.0
21,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.004,0.0,3.33E-4,2.0,-1869906382,0.1,0.0,2.0,0.03,2.0,0.2,0.3,5.0,0.05,100.0
28,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.004,0.0,3.33E-4,2.0,-1869895922,0.1,0.0,2.0,0.03,2.0,0.2,0.4,7.0,0.05,100.0
35,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.004,0.0,3.33E-4,2.0,-1869885502,0.1,0.0,2.0,0.03,2.0,0.2,0.5,9.0,0.05,100.0
42,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.004,0.0,3.33E-4,2.0,-1869876988,0.1,0.2,2.0,0.03,2.0,0.2,0.0,11.0,0.05,100.0
49,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.004,0.0,3.33E-4,2.0,-1869874117,0.1,0.2,2.0,0.03,2.0,0.2,0.2,1.0,0.05,100.0
56,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.004,0.0,3.33E-4,2.0,-1869863586,0.1,0.2,2.0,0.03,2.0,0.2,0.3,3.0,0.05,100.0
63,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.004,0.0,3.33E-4,2.0,-1869853165,0.1,0.2,2.0,0.03,2.0,0.2,0.4,5.0,0.05,100.0
70,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.004,0.0,3.33E-4,2.0,-1869842877,0.1,0.2,2.0,0.03,2.0,0.2,0.5,7.0,0.05,100.0
77,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.004,0.0,3.33E-4,2.0,-1869831664,0.1,0.4,2.0,0.03,2.0,0.2,0.0,9.0,0.05,100.0
84,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.004,0.0,3.33E-4,2.0,-1869828210,0.1,0.4,2.0,0.03,2.0,0.2,0.1,11.0,0.05,100.0
91,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.004,0.0,3.33E-4,2.0,-1869823503,0.1,0.4,2.0,0.03,2.0,0.2,0.3,1.0,0.05,100.0
98,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.004,0.0,3.33E-4,2.0,-1869812649,0.1,0.4,2.0,0.03,2.0,0.2,0.4,3.0,0.05,100.0
105,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.004,0.0,3.33E-4,2.0,-1869800709,0.1,0.4,2.0,0.03,2.0,0.2,0.5,5.0,0.05,100.0
