"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","fecundityDecRate","trafficLongCoefficient","costMinFactor","fecundityReck","fecundityRegen","migrationDistanceThreshold","trafficShortCoefficient"
189,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,1.0,0.05,2.0,-155209556,0.2,0.2,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
196,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,1.0,0.05,2.0,-155196289,0.2,0.4,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
203,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,1.0,0.05,2.0,-155181907,0.2,0.6,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
210,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,1.0,0.05,2.0,-155165478,0.2,0.8,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
217,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.0,0.05,2.0,-155148939,0.2,0.0,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
224,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.0,0.05,2.0,-155144281,0.2,0.2,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
231,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.0,0.05,2.0,-155135752,0.2,0.4,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
238,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.0,0.05,2.0,-155121042,0.2,0.6,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
245,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.0,0.05,2.0,-155105404,0.2,0.8,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
252,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.0,0.05,2.0,-155088412,0.2,1.0,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
259,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.2,0.05,2.0,-155070576,0.2,0.2,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
266,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.2,0.05,2.0,-155066660,0.2,0.4,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
273,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.2,0.05,2.0,-155053534,0.2,0.6,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
280,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.2,0.05,2.0,-155036838,0.2,0.8,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
287,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.2,0.05,2.0,-155021129,0.2,1.0,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
294,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.4,0.05,2.0,-155005157,0.2,0.0,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
301,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.4,0.05,2.0,-154993633,0.2,0.4,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
308,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.4,0.05,2.0,-154988706,0.2,0.6,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
315,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.4,0.05,2.0,-154974014,0.2,0.8,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
322,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.4,0.05,2.0,-154957457,0.2,1.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
329,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.6,0.05,2.0,-154939884,0.2,0.0,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
336,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.6,0.05,2.0,-154925287,0.2,0.2,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
343,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.6,0.05,2.0,-154910531,0.2,0.6,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
350,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.6,0.05,2.0,-154902291,0.2,0.8,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
357,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.6,0.05,2.0,-154886970,0.2,1.0,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
364,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.8,0.05,2.0,-154870141,0.2,0.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
371,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.8,0.05,2.0,-154858226,0.2,0.2,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
378,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.8,0.05,2.0,-154843201,0.2,0.4,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
385,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.8,0.05,2.0,-154827809,0.2,0.8,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
392,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,0.8,0.05,2.0,-154818220,0.2,1.0,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
399,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,1.0,0.05,2.0,-154801812,0.2,0.0,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
406,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,1.0,0.05,2.0,-154789993,0.2,0.2,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
413,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,1.0,0.05,2.0,-154776136,0.2,0.4,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
420,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,1.0,0.05,2.0,-154760561,0.2,0.6,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
427,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.02,1.0,0.05,2.0,-154744382,0.2,1.0,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
434,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.0,0.05,2.0,-154727931,0.2,0.0,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
441,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.0,0.05,2.0,-154721695,0.2,0.2,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
448,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.0,0.05,2.0,-154710134,0.2,0.4,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
455,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.0,0.05,2.0,-154693543,0.2,0.6,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
462,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.0,0.05,2.0,-154677519,0.2,0.8,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
469,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.2,0.05,2.0,-154661051,0.2,0.0,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
476,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.2,0.05,2.0,-154657121,0.2,0.2,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
483,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.2,0.05,2.0,-154647417,0.2,0.4,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
490,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.2,0.05,2.0,-154632518,0.2,0.6,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
