"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","fecundityDecRate","trafficLongCoefficient","costMinFactor","fecundityReck","fecundityRegen","migrationDistanceThreshold","trafficShortCoefficient"
8,1.0,0.0,170,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,462376017,0.2,0.2,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
16,1.0,0.0,170,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,462386787,0.2,0.4,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
24,1.0,0.0,170,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,462404558,0.2,0.6,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
32,1.0,0.0,170,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,462422601,0.2,1.0,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
40,1.0,0.0,170,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,462442639,0.2,0.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
48,1.0,0.0,170,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,462455730,0.2,0.2,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
56,1.0,0.0,170,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,462471421,0.2,0.6,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
64,1.0,0.0,170,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,462487626,0.2,0.8,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
72,1.0,0.0,170,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,462506023,0.2,1.0,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
80,1.0,0.0,170,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,462524081,0.2,0.2,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
88,1.0,0.0,170,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,462532855,0.2,0.4,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
96,1.0,0.0,170,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,462549603,0.2,0.6,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
104,1.0,0.0,170,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,462566440,0.2,1.0,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
112,1.0,0.0,170,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,462584335,0.2,0.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
120,1.0,0.0,170,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,462598876,0.2,0.2,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
128,1.0,0.0,170,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,462616157,0.2,0.6,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
136,1.0,0.0,170,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,462632773,0.2,0.8,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
144,1.0,0.0,170,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,462649395,0.2,1.0,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
152,1.0,0.0,170,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.8,0.05,2.0,462667977,0.2,0.2,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
160,1.0,0.0,170,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.8,0.05,2.0,462678390,0.2,0.4,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
168,1.0,0.0,170,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.8,0.05,2.0,462695165,0.2,0.6,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
176,1.0,0.0,170,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.8,0.05,2.0,462711826,0.2,1.0,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
