"run","immigration","infert","supply","push","randomSeed","precFlux","stelaeculty","canalDeath","canalDecay","sust","drought","killMaya","mortality","fort","precMean"
2,1,150,10000.0,2.0,-605823159,0.0,6.0,1.0,0.0,0.1,1.0,0.0,50000.0,500.0,8.0
10,1,150,10000.0,2.0,-605385330,0.0,6.0,1.0,0.0,0.25,1.0,0.0,50000.0,500.0,8.0
18,1,150,10000.0,2.0,-604948691,0.0,6.0,1.0,0.0,0.4,1.0,0.0,50000.0,500.0,8.0
26,1,150,10000.0,2.0,-604522477,0.0,6.0,1.0,0.0,0.5,1.0,0.0,50000.0,500.0,8.0
34,1,150,10000.0,2.0,-604091924,0.0,6.0,1.0,0.0,0.6,1.0,0.0,50000.0,500.0,8.0
42,1,150,10000.0,2.0,-603653163,0.0,6.0,1.0,0.0,0.7,1.0,0.0,50000.0,500.0,8.0
50,1,150,10000.0,2.0,-603221624,0.0,6.0,1.0,0.0,0.8,1.0,0.0,50000.0,500.0,8.0
58,1,150,10000.0,2.0,-602788184,0.0,6.0,1.0,0.0,1.0,1.0,0.0,50000.0,500.0,8.0
66,1,150,10000.0,2.0,-602355687,0.0,6.0,1.0,0.25,0.1,1.0,0.0,50000.0,500.0,8.0
74,1,150,10000.0,2.0,-601922144,0.0,6.0,1.0,0.25,0.25,1.0,0.0,50000.0,500.0,8.0
82,1,150,10000.0,2.0,-601490007,0.0,6.0,1.0,0.25,0.4,1.0,0.0,50000.0,500.0,8.0
90,1,150,10000.0,2.0,-601048628,0.0,6.0,1.0,0.25,0.5,1.0,0.0,50000.0,500.0,8.0
98,1,150,10000.0,2.0,-600611041,0.0,6.0,1.0,0.25,0.6,1.0,0.0,50000.0,500.0,8.0
106,1,150,10000.0,2.0,-600175562,0.0,6.0,1.0,0.25,0.7,1.0,0.0,50000.0,500.0,8.0
114,1,150,10000.0,2.0,-599735006,0.0,6.0,1.0,0.25,0.8,1.0,0.0,50000.0,500.0,8.0
122,1,150,10000.0,2.0,-599299215,0.0,6.0,1.0,0.25,1.0,1.0,0.0,50000.0,500.0,8.0
130,1,150,10000.0,2.0,-598866148,0.0,6.0,1.0,0.5,0.1,1.0,0.0,50000.0,500.0,8.0
138,1,150,10000.0,2.0,-598440285,0.0,6.0,1.0,0.5,0.25,1.0,0.0,50000.0,500.0,8.0
146,1,150,10000.0,2.0,-598013311,0.0,6.0,1.0,0.5,0.4,1.0,0.0,50000.0,500.0,8.0
154,1,150,10000.0,2.0,-597574674,0.0,6.0,1.0,0.5,0.5,1.0,0.0,50000.0,500.0,8.0
162,1,150,10000.0,2.0,-597133432,0.0,6.0,1.0,0.5,0.6,1.0,0.0,50000.0,500.0,8.0
170,1,150,10000.0,2.0,-596697054,0.0,6.0,1.0,0.5,0.7,1.0,0.0,50000.0,500.0,8.0
178,1,150,10000.0,2.0,-596254820,0.0,6.0,1.0,0.5,0.8,1.0,0.0,50000.0,500.0,8.0
186,1,150,10000.0,2.0,-595812744,0.0,6.0,1.0,0.5,1.0,1.0,0.0,50000.0,500.0,8.0
194,1,150,10000.0,2.0,-595376911,0.0,6.0,1.0,1.0,0.1,1.0,0.0,50000.0,500.0,8.0
202,1,150,10000.0,2.0,-594951219,0.0,6.0,1.0,1.0,0.25,1.0,0.0,50000.0,500.0,8.0
210,1,150,10000.0,2.0,-594516171,0.0,6.0,1.0,1.0,0.4,1.0,0.0,50000.0,500.0,8.0
218,1,150,10000.0,2.0,-594084252,0.0,6.0,1.0,1.0,0.5,1.0,0.0,50000.0,500.0,8.0
226,1,150,10000.0,2.0,-593647100,0.0,6.0,1.0,1.0,0.6,1.0,0.0,50000.0,500.0,8.0
234,1,150,10000.0,2.0,-593211579,0.0,6.0,1.0,1.0,0.7,1.0,0.0,50000.0,500.0,8.0
242,1,150,10000.0,2.0,-592764939,0.0,6.0,1.0,1.0,0.8,1.0,0.0,50000.0,500.0,8.0
250,1,150,10000.0,2.0,-592324338,0.0,6.0,1.0,1.0,1.0,1.0,0.0,50000.0,500.0,8.0
258,1,150,10000.0,2.0,-591883085,0.0,6.0,1.0,2.0,0.1,1.0,0.0,50000.0,500.0,8.0
266,1,150,10000.0,2.0,-591452519,0.0,6.0,1.0,2.0,0.25,1.0,0.0,50000.0,500.0,8.0
274,1,150,10000.0,2.0,-591024319,0.0,6.0,1.0,2.0,0.4,1.0,0.0,50000.0,500.0,8.0
282,1,150,10000.0,2.0,-590584872,0.0,6.0,1.0,2.0,0.5,1.0,0.0,50000.0,500.0,8.0
290,1,150,10000.0,2.0,-590148581,0.0,6.0,1.0,2.0,0.6,1.0,0.0,50000.0,500.0,8.0
298,1,150,10000.0,2.0,-589713617,0.0,6.0,1.0,2.0,0.7,1.0,0.0,50000.0,500.0,8.0
306,1,150,10000.0,2.0,-589270793,0.0,6.0,1.0,2.0,0.8,1.0,0.0,50000.0,500.0,8.0
314,1,150,10000.0,2.0,-588838652,0.0,6.0,1.0,2.0,1.0,1.0,0.0,50000.0,500.0,8.0
322,1,150,10000.0,2.0,-588398444,0.0,6.0,1.0,4.0,0.1,1.0,0.0,50000.0,500.0,8.0
330,1,150,10000.0,2.0,-587963350,0.0,6.0,1.0,4.0,0.25,1.0,0.0,50000.0,500.0,8.0
