"run","immigration","infert","supply","push","randomSeed","precFlux","stelaeculty","canalDeath","canalDecay","sust","drought","killMaya","mortality","fort","precMean"
353,1,150,10000.0,2.0,-586639143,0.0,6.0,1.0,4.0,0.6,0.0,0.0,50000.0,500.0,8.0
361,1,150,10000.0,2.0,-586203924,0.0,6.0,1.0,4.0,0.7,0.0,0.0,50000.0,500.0,8.0
369,1,150,10000.0,2.0,-585767076,0.0,6.0,1.0,4.0,0.8,0.0,0.0,50000.0,500.0,8.0
377,1,150,10000.0,2.0,-585326859,0.0,6.0,1.0,4.0,1.0,0.0,0.0,50000.0,500.0,8.0
385,1,150,10000.0,2.0,-584882388,0.0,6.0,1.0,8.0,0.1,0.0,0.0,50000.0,500.0,8.0
393,1,150,10000.0,2.0,-584453161,0.0,6.0,1.0,8.0,0.25,0.0,0.0,50000.0,500.0,8.0
401,1,150,10000.0,2.0,-584015564,0.0,6.0,1.0,8.0,0.4,0.0,0.0,50000.0,500.0,8.0
409,1,150,10000.0,2.0,-583584792,0.0,6.0,1.0,8.0,0.5,0.0,0.0,50000.0,500.0,8.0
417,1,150,10000.0,2.0,-583144959,0.0,6.0,1.0,8.0,0.6,0.0,0.0,50000.0,500.0,8.0
425,1,150,10000.0,2.0,-582710633,0.0,6.0,1.0,8.0,0.7,0.0,0.0,50000.0,500.0,8.0
433,1,150,10000.0,2.0,-582273343,0.0,6.0,1.0,8.0,0.8,0.0,0.0,50000.0,500.0,8.0
441,1,150,10000.0,2.0,-581833162,0.0,6.0,1.0,8.0,1.0,0.0,0.0,50000.0,500.0,8.0
449,1,150,10000.0,2.0,-581390534,0.0,6.0,1.0,16.0,0.1,0.0,0.0,50000.0,500.0,8.0
457,1,150,10000.0,2.0,-580961803,0.0,6.0,1.0,16.0,0.25,0.0,0.0,50000.0,500.0,8.0
465,1,150,10000.0,2.0,-580525118,0.0,6.0,1.0,16.0,0.4,0.0,0.0,50000.0,500.0,8.0
473,1,150,10000.0,2.0,-580086508,0.0,6.0,1.0,16.0,0.5,0.0,0.0,50000.0,500.0,8.0
481,1,150,10000.0,2.0,-579650446,0.0,6.0,1.0,16.0,0.6,0.0,0.0,50000.0,500.0,8.0
489,1,150,10000.0,2.0,-579216178,0.0,6.0,1.0,16.0,0.7,0.0,0.0,50000.0,500.0,8.0
