"run","immigration","infert","supply","push","randomSeed","precFlux","stelaeculty","canalDeath","canalDecay","sust","drought","killMaya","mortality","fort","precMean"
8,1,150,10000.0,2.0,-605822675,0.0,6.0,1.0,0.0,0.1,7.0,0.0,50000.0,500.0,8.0
16,1,150,10000.0,2.0,-605402248,0.0,6.0,1.0,0.0,0.25,7.0,0.0,50000.0,500.0,8.0
24,1,150,10000.0,2.0,-604982933,0.0,6.0,1.0,0.0,0.4,7.0,0.0,50000.0,500.0,8.0
32,1,150,10000.0,2.0,-604564438,0.0,6.0,1.0,0.0,0.5,7.0,0.0,50000.0,500.0,8.0
40,1,150,10000.0,2.0,-604145680,0.0,6.0,1.0,0.0,0.6,7.0,0.0,50000.0,500.0,8.0
48,1,150,10000.0,2.0,-603726936,0.0,6.0,1.0,0.0,0.7,7.0,0.0,50000.0,500.0,8.0
56,1,150,10000.0,2.0,-603303142,0.0,6.0,1.0,0.0,0.8,7.0,0.0,50000.0,500.0,8.0
64,1,150,10000.0,2.0,-602875446,0.0,6.0,1.0,0.0,1.0,7.0,0.0,50000.0,500.0,8.0
72,1,150,10000.0,2.0,-602453223,0.0,6.0,1.0,0.25,0.1,7.0,0.0,50000.0,500.0,8.0
80,1,150,10000.0,2.0,-602031061,0.0,6.0,1.0,0.25,0.25,7.0,0.0,50000.0,500.0,8.0
88,1,150,10000.0,2.0,-601606470,0.0,6.0,1.0,0.25,0.4,7.0,0.0,50000.0,500.0,8.0
96,1,150,10000.0,2.0,-601179359,0.0,6.0,1.0,0.25,0.5,7.0,0.0,50000.0,500.0,8.0
104,1,150,10000.0,2.0,-600757755,0.0,6.0,1.0,0.25,0.6,7.0,0.0,50000.0,500.0,8.0
112,1,150,10000.0,2.0,-600335601,0.0,6.0,1.0,0.25,0.7,7.0,0.0,50000.0,500.0,8.0
120,1,150,10000.0,2.0,-599910793,0.0,6.0,1.0,0.25,0.8,7.0,0.0,50000.0,500.0,8.0
128,1,150,10000.0,2.0,-599487840,0.0,6.0,1.0,0.25,1.0,7.0,0.0,50000.0,500.0,8.0
136,1,150,10000.0,2.0,-599062883,0.0,6.0,1.0,0.5,0.1,7.0,0.0,50000.0,500.0,8.0
144,1,150,10000.0,2.0,-598638610,0.0,6.0,1.0,0.5,0.25,7.0,0.0,50000.0,500.0,8.0
152,1,150,10000.0,2.0,-598222557,0.0,6.0,1.0,0.5,0.4,7.0,0.0,50000.0,500.0,8.0
160,1,150,10000.0,2.0,-597795397,0.0,6.0,1.0,0.5,0.5,7.0,0.0,50000.0,500.0,8.0
168,1,150,10000.0,2.0,-597369405,0.0,6.0,1.0,0.5,0.6,7.0,0.0,50000.0,500.0,8.0
176,1,150,10000.0,2.0,-596945361,0.0,6.0,1.0,0.5,0.7,7.0,0.0,50000.0,500.0,8.0
184,1,150,10000.0,2.0,-596518890,0.0,6.0,1.0,0.5,0.8,7.0,0.0,50000.0,500.0,8.0
192,1,150,10000.0,2.0,-596088437,0.0,6.0,1.0,0.5,1.0,7.0,0.0,50000.0,500.0,8.0
200,1,150,10000.0,2.0,-595657899,0.0,6.0,1.0,1.0,0.1,7.0,0.0,50000.0,500.0,8.0
208,1,150,10000.0,2.0,-595237916,0.0,6.0,1.0,1.0,0.25,7.0,0.0,50000.0,500.0,8.0
216,1,150,10000.0,2.0,-594813132,0.0,6.0,1.0,1.0,0.4,7.0,0.0,50000.0,500.0,8.0
224,1,150,10000.0,2.0,-594391032,0.0,6.0,1.0,1.0,0.5,7.0,0.0,50000.0,500.0,8.0
