"run","foodBloatsWeight","foodMin","weightRegen","foodGrowth","foodUnsustainability","weightMaxFactor","weightResil","infert","weightBloatRate","push","foodRegen","weightImproveRate","foodDecay","randomSeed","weightMinFactor","droughtMod","foodMax","weightDrought","foodResil","fort","foodDrought","deathFraction"
186,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.07,0.005,0.0,267184465,0.2,0,10.0,2.5,0.5,9.9999999E7,0.6,0.0
192,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.07,0.005,0.05,267188126,0.2,0,10.0,1.0,0.0,9.9999999E7,0.6,0.0
198,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.07,0.005,0.05,267190964,0.2,0,10.0,1.0,1.0,9.9999999E7,0.6,0.0
204,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.07,0.005,0.05,267193974,0.2,0,10.0,1.75,0.5,9.9999999E7,0.6,0.0
210,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.07,0.005,0.05,267197348,0.2,0,10.0,2.5,0.0,9.9999999E7,0.6,0.0
216,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.07,0.005,0.05,267200379,0.2,0,10.0,2.5,1.0,9.9999999E7,0.6,0.0
222,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.07,0.005,0.1,267203646,0.2,0,10.0,1.0,0.5,9.9999999E7,0.6,0.0
228,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.07,0.005,0.1,267206860,0.2,0,10.0,1.75,0.0,9.9999999E7,0.6,0.0
234,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.07,0.005,0.1,267210292,0.2,0,10.0,1.75,1.0,9.9999999E7,0.6,0.0
240,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.07,0.005,0.1,267213335,0.2,0,10.0,2.5,0.5,9.9999999E7,0.6,0.0
246,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.0,0.005,0.0,267216329,0.2,0,10.0,1.0,0.0,9.9999999E7,0.6,0.0
252,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.0,0.005,0.0,267219194,0.2,0,10.0,1.0,1.0,9.9999999E7,0.6,0.0
258,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.0,0.005,0.0,267221651,0.2,0,10.0,1.75,0.5,9.9999999E7,0.6,0.0
264,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.0,0.005,0.0,267223858,0.2,0,10.0,2.5,0.0,9.9999999E7,0.6,0.0
