"run","foodBloatsWeight","foodMin","weightRegen","foodGrowth","foodUnsustainability","weightMaxFactor","weightResil","infert","weightBloatRate","push","foodRegen","weightImproveRate","foodDecay","randomSeed","weightMinFactor","droughtMod","foodMax","weightDrought","foodResil","fort","foodDrought","deathFraction"
8,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.0,0.005,0.0,332539572,0.2,0,10.0,1.0,1.0,9.9999999E7,0.3,0.0
16,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.0,0.005,0.0,332548633,0.2,0,10.0,1.75,1.0,9.9999999E7,1.0,0.0
24,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.0,0.005,0.0,332553040,0.2,0,10.0,2.5,0.5,9.9999999E7,0.6,0.0
32,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.0,0.005,0.05,332556945,0.2,0,10.0,1.0,0.5,9.9999999E7,0.3,0.0
40,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.0,0.005,0.05,332560969,0.2,0,10.0,1.75,0.5,9.9999999E7,1.0,0.0
48,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.0,0.005,0.05,332564522,0.2,0,10.0,2.5,0.0,9.9999999E7,0.6,0.0
56,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.0,0.005,0.1,332568217,0.2,0,10.0,1.0,0.0,9.9999999E7,0.3,0.0
64,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.0,0.005,0.1,332572160,0.2,0,10.0,1.75,0.0,9.9999999E7,1.0,0.0
72,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.0,0.005,0.1,332576142,0.2,0,10.0,1.75,1.0,9.9999999E7,0.6,0.0
80,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.0,0.005,0.1,332580125,0.2,0,10.0,2.5,1.0,9.9999999E7,0.3,0.0
88,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.035,0.005,0.0,332583701,0.2,0,10.0,1.0,1.0,9.9999999E7,1.0,0.0
96,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.035,0.005,0.0,332587846,0.2,0,10.0,1.75,0.5,9.9999999E7,0.6,0.0
104,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.035,0.005,0.0,332591845,0.2,0,10.0,2.5,0.5,9.9999999E7,0.3,0.0
112,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.035,0.005,0.05,332595674,0.2,0,10.0,1.0,0.5,9.9999999E7,1.0,0.0
120,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.035,0.005,0.05,332599090,0.2,0,10.0,1.75,0.0,9.9999999E7,0.6,0.0
128,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.035,0.005,0.05,332602686,0.2,0,10.0,2.5,0.0,9.9999999E7,0.3,0.0
136,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.035,0.005,0.1,332605700,0.2,0,10.0,1.0,0.0,9.9999999E7,1.0,0.0
144,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.035,0.005,0.1,332609390,0.2,0,10.0,1.0,1.0,9.9999999E7,0.6,0.0
152,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.035,0.005,0.1,332612644,0.2,0,10.0,1.75,1.0,9.9999999E7,0.3,0.0
160,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.035,0.005,0.1,332616602,0.2,0,10.0,2.5,1.0,9.9999999E7,1.0,0.0
168,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.07,0.005,0.0,332619414,0.2,0,10.0,1.0,0.5,9.9999999E7,0.6,0.0
176,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.07,0.005,0.0,332624108,0.2,0,10.0,1.75,0.5,9.9999999E7,0.3,0.0
184,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.07,0.005,0.0,332628100,0.2,0,10.0,2.5,0.5,9.9999999E7,1.0,0.0
192,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.07,0.005,0.05,332632442,0.2,0,10.0,1.0,0.0,9.9999999E7,0.6,0.0
200,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.07,0.005,0.05,332636812,0.2,0,10.0,1.75,0.0,9.9999999E7,0.3,0.0
208,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.07,0.005,0.05,332640758,0.2,0,10.0,2.5,0.0,9.9999999E7,1.0,0.0
216,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.07,0.005,0.05,332644768,0.2,0,10.0,2.5,1.0,9.9999999E7,0.6,0.0
224,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.07,0.005,0.1,332647894,0.2,0,10.0,1.0,1.0,9.9999999E7,0.3,0.0
232,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.07,0.005,0.1,332651257,0.2,0,10.0,1.75,1.0,9.9999999E7,1.0,0.0
240,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.07,0.005,0.1,332654751,0.2,0,10.0,2.5,0.5,9.9999999E7,0.6,0.0
248,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.0,0.005,0.0,332657523,0.2,0,10.0,1.0,0.5,9.9999999E7,0.3,0.0
256,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.0,0.005,0.0,332661441,0.2,0,10.0,1.75,0.5,9.9999999E7,1.0,0.0
264,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.0,0.005,0.0,332664788,0.2,0,10.0,2.5,0.0,9.9999999E7,0.6,0.0
272,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.0,0.005,0.05,332667654,0.2,0,10.0,1.0,0.0,9.9999999E7,0.3,0.0
280,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.0,0.005,0.05,332671276,0.2,0,10.0,1.75,0.0,9.9999999E7,1.0,0.0
288,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.0,0.005,0.05,332674255,0.2,0,10.0,1.75,1.0,9.9999999E7,0.6,0.0
296,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.0,0.005,0.05,332677390,0.2,0,10.0,2.5,1.0,9.9999999E7,0.3,0.0
304,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.0,0.005,0.1,332680574,0.2,0,10.0,1.0,1.0,9.9999999E7,1.0,0.0
312,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.0,0.005,0.1,332683531,0.2,0,10.0,1.75,0.5,9.9999999E7,0.6,0.0
320,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.0,0.005,0.1,332686253,0.2,0,10.0,2.5,0.5,9.9999999E7,0.3,0.0
328,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.035,0.005,0.0,332689028,0.2,0,10.0,1.0,0.5,9.9999999E7,1.0,0.0
336,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.035,0.005,0.0,332693251,0.2,0,10.0,1.75,0.0,9.9999999E7,0.6,0.0
344,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.035,0.005,0.0,332696808,0.2,0,10.0,2.5,0.0,9.9999999E7,0.3,0.0
352,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.035,0.005,0.05,332702010,0.2,0,10.0,1.0,0.0,9.9999999E7,1.0,0.0
360,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.035,0.005,0.05,332706331,0.2,0,10.0,1.0,1.0,9.9999999E7,0.6,0.0
368,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.035,0.005,0.05,332709957,0.2,0,10.0,1.75,1.0,9.9999999E7,0.3,0.0
376,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.035,0.005,0.05,332713138,0.2,0,10.0,2.5,1.0,9.9999999E7,1.0,0.0
384,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.035,0.005,0.1,332717174,0.2,0,10.0,1.0,0.5,9.9999999E7,0.6,0.0
392,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.035,0.005,0.1,332720316,0.2,0,10.0,1.75,0.5,9.9999999E7,0.3,0.0
400,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.035,0.005,0.1,332724278,0.2,0,10.0,2.5,0.5,9.9999999E7,1.0,0.0
408,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.07,0.005,0.0,332728741,0.2,0,10.0,1.0,0.0,9.9999999E7,0.6,0.0
416,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.07,0.005,0.0,332733046,0.2,0,10.0,1.75,0.0,9.9999999E7,0.3,0.0
424,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.07,0.005,0.0,332736400,0.2,0,10.0,2.5,0.0,9.9999999E7,1.0,0.0
432,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.07,0.005,0.0,332740084,0.2,0,10.0,2.5,1.0,9.9999999E7,0.6,0.0
440,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.07,0.005,0.05,332744126,0.2,0,10.0,1.0,1.0,9.9999999E7,0.3,0.0
448,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.07,0.005,0.05,332747887,0.2,0,10.0,1.75,1.0,9.9999999E7,1.0,0.0
456,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.07,0.005,0.05,332752892,0.2,0,10.0,2.5,0.5,9.9999999E7,0.6,0.0
464,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.07,0.005,0.1,332756436,0.2,0,10.0,1.0,0.5,9.9999999E7,0.3,0.0
472,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.07,0.005,0.1,332759851,0.2,0,10.0,1.75,0.5,9.9999999E7,1.0,0.0
480,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.07,0.005,0.1,332763322,0.2,0,10.0,2.5,0.0,9.9999999E7,0.6,0.0
488,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.0,0.005,0.0,332767439,0.2,0,10.0,1.0,0.0,9.9999999E7,0.3,0.0
496,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.0,0.005,0.0,332771495,0.2,0,10.0,1.75,0.0,9.9999999E7,1.0,0.0
504,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.0,0.005,0.0,332775485,0.2,0,10.0,1.75,1.0,9.9999999E7,0.6,0.0
512,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.0,0.005,0.0,332778655,0.2,0,10.0,2.5,1.0,9.9999999E7,0.3,0.0
520,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.0,0.005,0.05,332782046,0.2,0,10.0,1.0,1.0,9.9999999E7,1.0,0.0
528,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.0,0.005,0.05,332785911,0.2,0,10.0,1.75,0.5,9.9999999E7,0.6,0.0
536,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.0,0.005,0.05,332790334,0.2,0,10.0,2.5,0.5,9.9999999E7,0.3,0.0
544,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.0,0.005,0.1,332793774,0.2,0,10.0,1.0,0.5,9.9999999E7,1.0,0.0
552,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.0,0.005,0.1,332798093,0.2,0,10.0,1.75,0.0,9.9999999E7,0.6,0.0
560,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.0,0.005,0.1,332801842,0.2,0,10.0,2.5,0.0,9.9999999E7,0.3,0.0
568,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.035,0.005,0.0,332805670,0.2,0,10.0,1.0,0.0,9.9999999E7,1.0,0.0
576,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.035,0.005,0.0,332808482,0.2,0,10.0,1.0,1.0,9.9999999E7,0.6,0.0
584,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.035,0.005,0.0,332811993,0.2,0,10.0,1.75,1.0,9.9999999E7,0.3,0.0
592,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.035,0.005,0.0,332816387,0.2,0,10.0,2.5,1.0,9.9999999E7,1.0,0.0
600,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.035,0.005,0.05,332820345,0.2,0,10.0,1.0,0.5,9.9999999E7,0.6,0.0
608,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.035,0.005,0.05,332823070,0.2,0,10.0,1.75,0.5,9.9999999E7,0.3,0.0
616,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.035,0.005,0.05,332826879,0.2,0,10.0,2.5,0.5,9.9999999E7,1.0,0.0
624,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.035,0.005,0.1,332830769,0.2,0,10.0,1.0,0.0,9.9999999E7,0.6,0.0
632,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.035,0.005,0.1,332834463,0.2,0,10.0,1.75,0.0,9.9999999E7,0.3,0.0
640,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.035,0.005,0.1,332838176,0.2,0,10.0,2.5,0.0,9.9999999E7,1.0,0.0
648,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.035,0.005,0.1,332842700,0.2,0,10.0,2.5,1.0,9.9999999E7,0.6,0.0
656,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.07,0.005,0.0,332846786,0.2,0,10.0,1.0,1.0,9.9999999E7,0.3,0.0
664,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.07,0.005,0.0,332850583,0.2,0,10.0,1.75,1.0,9.9999999E7,1.0,0.0
672,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.07,0.005,0.0,332853366,0.2,0,10.0,2.5,0.5,9.9999999E7,0.6,0.0
680,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.07,0.005,0.05,332857438,0.2,0,10.0,1.0,0.5,9.9999999E7,0.3,0.0
688,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.07,0.005,0.05,332862175,0.2,0,10.0,1.75,0.5,9.9999999E7,1.0,0.0
696,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.07,0.005,0.05,332865823,0.2,0,10.0,2.5,0.0,9.9999999E7,0.6,0.0
704,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.07,0.005,0.1,332869331,0.2,0,10.0,1.0,0.0,9.9999999E7,0.3,0.0
712,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.07,0.005,0.1,332873136,0.2,0,10.0,1.75,0.0,9.9999999E7,1.0,0.0
720,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.07,0.005,0.1,332876853,0.2,0,10.0,1.75,1.0,9.9999999E7,0.6,0.0
728,0.02,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.07,0.005,0.1,332880836,0.2,0,10.0,2.5,1.0,9.9999999E7,0.3,0.0
736,0.02,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.0,0.005,0.0,332884396,0.2,0,10.0,1.0,1.0,9.9999999E7,1.0,0.0
744,0.02,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.0,0.005,0.0,332888038,0.2,0,10.0,1.75,0.5,9.9999999E7,0.6,0.0
752,0.02,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.0,0.005,0.0,332891409,0.2,0,10.0,2.5,0.5,9.9999999E7,0.3,0.0
760,0.02,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.0,0.005,0.05,332895026,0.2,0,10.0,1.0,0.5,9.9999999E7,1.0,0.0
768,0.02,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.0,0.005,0.05,332898771,0.2,0,10.0,1.75,0.0,9.9999999E7,0.6,0.0
776,0.02,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.0,0.005,0.05,332901754,0.2,0,10.0,2.5,0.0,9.9999999E7,0.3,0.0
784,0.02,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.0,0.005,0.1,332905265,0.2,0,10.0,1.0,0.0,9.9999999E7,1.0,0.0
792,0.02,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.0,0.005,0.1,332909278,0.2,0,10.0,1.0,1.0,9.9999999E7,0.6,0.0
800,0.02,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.0,0.005,0.1,332912687,0.2,0,10.0,1.75,1.0,9.9999999E7,0.3,0.0
808,0.02,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.0,0.005,0.1,332917507,0.2,0,10.0,2.5,1.0,9.9999999E7,1.0,0.0
816,0.02,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.035,0.005,0.0,332920475,0.2,0,10.0,1.0,0.5,9.9999999E7,0.6,0.0
824,0.02,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.035,0.005,0.0,332924047,0.2,0,10.0,1.75,0.5,9.9999999E7,0.3,0.0
832,0.02,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.035,0.005,0.0,332927484,0.2,0,10.0,2.5,0.5,9.9999999E7,1.0,0.0
840,0.02,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.035,0.005,0.05,332931967,0.2,0,10.0,1.0,0.0,9.9999999E7,0.6,0.0
848,0.02,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.035,0.005,0.05,332936297,0.2,0,10.0,1.75,0.0,9.9999999E7,0.3,0.0
856,0.02,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.035,0.005,0.05,332940067,0.2,0,10.0,2.5,0.0,9.9999999E7,1.0,0.0
864,0.02,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.035,0.005,0.05,332944340,0.2,0,10.0,2.5,1.0,9.9999999E7,0.6,0.0
