"run","randomSeed","canalDeath","canalDecay","sust","drought","fort","infert","push","precMean"
6,828794487,1.0,0.0,0.2,2.5,25.0,50,1.0,7.0
17,828811126,1.0,0.0,0.3,0.5,25.0,50,1.0,7.0
28,828818905,1.0,0.0,0.3,6.0,25.0,50,1.0,7.0
39,828824920,1.0,0.0,0.4,4.0,25.0,50,1.0,7.0
50,828832789,1.0,0.0,0.5,2.0,25.0,50,1.0,7.0
61,828841598,1.0,0.0,0.6,0.0,25.0,50,1.0,7.0
72,828848644,1.0,0.0,0.6,5.5,25.0,50,1.0,7.0
83,828856309,1.0,0.0,0.7,3.5,25.0,50,1.0,7.0
94,828864597,1.0,0.0,0.8,1.5,25.0,50,1.0,7.0
105,828873579,1.0,0.0,0.8,7.0,25.0,50,1.0,7.0
116,828881110,1.0,0.0,0.9,5.0,25.0,50,1.0,7.0
127,828889159,1.0,0.0,1.0,3.0,25.0,50,1.0,7.0
138,828895609,1.0,0.0,1.1,1.0,25.0,50,1.0,7.0
149,828903892,1.0,0.0,1.1,6.5,25.0,50,1.0,7.0
160,828909746,1.0,0.0,1.2,4.5,25.0,50,1.0,7.0
171,828917683,1.0,0.0,1.3,2.5,25.0,50,1.0,7.0
182,828926863,1.0,0.25,0.2,0.5,25.0,50,1.0,7.0
193,828934216,1.0,0.25,0.2,6.0,25.0,50,1.0,7.0
204,828939309,1.0,0.25,0.3,4.0,25.0,50,1.0,7.0
215,828946414,1.0,0.25,0.4,2.0,25.0,50,1.0,7.0
226,828953192,1.0,0.25,0.5,0.0,25.0,50,1.0,7.0
237,828960125,1.0,0.25,0.5,5.5,25.0,50,1.0,7.0
248,828966801,1.0,0.25,0.6,3.5,25.0,50,1.0,7.0
259,828973444,1.0,0.25,0.7,1.5,25.0,50,1.0,7.0
270,828981254,1.0,0.25,0.7,7.0,25.0,50,1.0,7.0
281,828988382,1.0,0.25,0.8,5.0,25.0,50,1.0,7.0
292,828995167,1.0,0.25,0.9,3.0,25.0,50,1.0,7.0
303,829001620,1.0,0.25,1.0,1.0,25.0,50,1.0,7.0
314,829008699,1.0,0.25,1.0,6.5,25.0,50,1.0,7.0
325,829014525,1.0,0.25,1.1,4.5,25.0,50,1.0,7.0
336,829022839,1.0,0.25,1.2,2.5,25.0,50,1.0,7.0
347,829031051,1.0,0.25,1.3,0.5,25.0,50,1.0,7.0
358,829037109,1.0,0.25,1.3,6.0,25.0,50,1.0,7.0
369,829043961,1.0,0.5,0.2,4.0,25.0,50,1.0,7.0
380,829050654,1.0,0.5,0.3,2.0,25.0,50,1.0,7.0
391,829057781,1.0,0.5,0.4,0.0,25.0,50,1.0,7.0
402,829064945,1.0,0.5,0.4,5.5,25.0,50,1.0,7.0
413,829071755,1.0,0.5,0.5,3.5,25.0,50,1.0,7.0
424,829078142,1.0,0.5,0.6,1.5,25.0,50,1.0,7.0
435,829084933,1.0,0.5,0.6,7.0,25.0,50,1.0,7.0
446,829090428,1.0,0.5,0.7,5.0,25.0,50,1.0,7.0
457,829096963,1.0,0.5,0.8,3.0,25.0,50,1.0,7.0
468,829103865,1.0,0.5,0.9,1.0,25.0,50,1.0,7.0
479,829110981,1.0,0.5,0.9,6.5,25.0,50,1.0,7.0
490,829116758,1.0,0.5,1.0,4.5,25.0,50,1.0,7.0
501,829123359,1.0,0.5,1.1,2.5,25.0,50,1.0,7.0
512,829131270,1.0,0.5,1.2,0.5,25.0,50,1.0,7.0
523,829140027,1.0,0.5,1.2,6.0,25.0,50,1.0,7.0
534,829148570,1.0,0.5,1.3,4.0,25.0,50,1.0,7.0
545,829157235,1.0,0.75,0.2,2.0,25.0,50,1.0,7.0
556,829163991,1.0,0.75,0.3,0.0,25.0,50,1.0,7.0
567,829171443,1.0,0.75,0.3,5.5,25.0,50,1.0,7.0
578,829177630,1.0,0.75,0.4,3.5,25.0,50,1.0,7.0
589,829183133,1.0,0.75,0.5,1.5,25.0,50,1.0,7.0
600,829190379,1.0,0.75,0.5,7.0,25.0,50,1.0,7.0
611,829195957,1.0,0.75,0.6,5.0,25.0,50,1.0,7.0
622,829201229,1.0,0.75,0.7,3.0,25.0,50,1.0,7.0
633,829209915,1.0,0.75,0.8,1.0,25.0,50,1.0,7.0
644,829217422,1.0,0.75,0.8,6.5,25.0,50,1.0,7.0
655,829222682,1.0,0.75,0.9,4.5,25.0,50,1.0,7.0
666,829229479,1.0,0.75,1.0,2.5,25.0,50,1.0,7.0
677,829238833,1.0,0.75,1.1,0.5,25.0,50,1.0,7.0
688,829246030,1.0,0.75,1.1,6.0,25.0,50,1.0,7.0
699,829250944,1.0,0.75,1.2,4.0,25.0,50,1.0,7.0
710,829260808,1.0,0.75,1.3,2.0,25.0,50,1.0,7.0
721,829267928,1.0,1.0,0.2,0.0,25.0,50,1.0,7.0
732,829274333,1.0,1.0,0.2,5.5,25.0,50,1.0,7.0
743,829279197,1.0,1.0,0.3,3.5,25.0,50,1.0,7.0
754,829284893,1.0,1.0,0.4,1.5,25.0,50,1.0,7.0
765,829292549,1.0,1.0,0.4,7.0,25.0,50,1.0,7.0
776,829298347,1.0,1.0,0.5,5.0,25.0,50,1.0,7.0
787,829304065,1.0,1.0,0.6,3.0,25.0,50,1.0,7.0
798,829311272,1.0,1.0,0.7,1.0,25.0,50,1.0,7.0
809,829319059,1.0,1.0,0.7,6.5,25.0,50,1.0,7.0
820,829324081,1.0,1.0,0.8,4.5,25.0,50,1.0,7.0
831,829331198,1.0,1.0,0.9,2.5,25.0,50,1.0,7.0
842,829340828,1.0,1.0,1.0,0.5,25.0,50,1.0,7.0
853,829348106,1.0,1.0,1.0,6.0,25.0,50,1.0,7.0
864,829354704,1.0,1.0,1.1,4.0,25.0,50,1.0,7.0
875,829363067,1.0,1.0,1.2,2.0,25.0,50,1.0,7.0
886,829370033,1.0,1.0,1.3,0.0,25.0,50,1.0,7.0
897,829375684,1.0,1.0,1.3,5.5,25.0,50,1.0,7.0
908,829381760,1.0,1.25,0.2,3.5,25.0,50,1.0,7.0
919,829387450,1.0,1.25,0.3,1.5,25.0,50,1.0,7.0
930,829393170,1.0,1.25,0.3,7.0,25.0,50,1.0,7.0
941,829398805,1.0,1.25,0.4,5.0,25.0,50,1.0,7.0
952,829404104,1.0,1.25,0.5,3.0,25.0,50,1.0,7.0
963,829410596,1.0,1.25,0.6,1.0,25.0,50,1.0,7.0
974,829418439,1.0,1.25,0.6,6.5,25.0,50,1.0,7.0
985,829423966,1.0,1.25,0.7,4.5,25.0,50,1.0,7.0
996,829430202,1.0,1.25,0.8,2.5,25.0,50,1.0,7.0
1007,829440229,1.0,1.25,0.9,0.5,25.0,50,1.0,7.0
1018,829448223,1.0,1.25,0.9,6.0,25.0,50,1.0,7.0
1029,829454757,1.0,1.25,1.0,4.0,25.0,50,1.0,7.0
1040,829460169,1.0,1.25,1.1,2.0,25.0,50,1.0,7.0
1051,829466608,1.0,1.25,1.2,0.0,25.0,50,1.0,7.0
1062,829472167,1.0,1.25,1.2,5.5,25.0,50,1.0,7.0
1073,829478674,1.0,1.25,1.3,3.5,25.0,50,1.0,7.0
1084,829486487,1.0,1.5,0.2,1.5,25.0,50,1.0,7.0
1095,829494110,1.0,1.5,0.2,7.0,25.0,50,1.0,7.0
1106,829500047,1.0,1.5,0.3,5.0,25.0,50,1.0,7.0
1117,829505389,1.0,1.5,0.4,3.0,25.0,50,1.0,7.0
1128,829510271,1.0,1.5,0.5,1.0,25.0,50,1.0,7.0
1139,829516576,1.0,1.5,0.5,6.5,25.0,50,1.0,7.0
1150,829521621,1.0,1.5,0.6,4.5,25.0,50,1.0,7.0
1161,829529111,1.0,1.5,0.7,2.5,25.0,50,1.0,7.0
1172,829536468,1.0,1.5,0.8,0.5,25.0,50,1.0,7.0
1183,829544903,1.0,1.5,0.8,6.0,25.0,50,1.0,7.0
1194,829550192,1.0,1.5,0.9,4.0,25.0,50,1.0,7.0
1205,829557048,1.0,1.5,1.0,2.0,25.0,50,1.0,7.0
1216,829563801,1.0,1.5,1.1,0.0,25.0,50,1.0,7.0
1227,829570422,1.0,1.5,1.1,5.5,25.0,50,1.0,7.0
1238,829576328,1.0,1.5,1.2,3.5,25.0,50,1.0,7.0
1249,829583636,1.0,1.5,1.3,1.5,25.0,50,1.0,7.0
1260,829591062,1.0,1.5,1.3,7.0,25.0,50,1.0,7.0
1271,829596303,1.0,1.75,0.2,5.0,25.0,50,1.0,7.0
1282,829601917,1.0,1.75,0.3,3.0,25.0,50,1.0,7.0
1293,829609109,1.0,1.75,0.4,1.0,25.0,50,1.0,7.0
1304,829616645,1.0,1.75,0.4,6.5,25.0,50,1.0,7.0
1315,829623166,1.0,1.75,0.5,4.5,25.0,50,1.0,7.0
1326,829628725,1.0,1.75,0.6,2.5,25.0,50,1.0,7.0
1337,829638103,1.0,1.75,0.7,0.5,25.0,50,1.0,7.0
1348,829644813,1.0,1.75,0.7,6.0,25.0,50,1.0,7.0
1359,829650695,1.0,1.75,0.8,4.0,25.0,50,1.0,7.0
1370,829657426,1.0,1.75,0.9,2.0,25.0,50,1.0,7.0
1381,829664755,1.0,1.75,1.0,0.0,25.0,50,1.0,7.0
1392,829670417,1.0,1.75,1.0,5.5,25.0,50,1.0,7.0
1403,829676369,1.0,1.75,1.1,3.5,25.0,50,1.0,7.0
1414,829683998,1.0,1.75,1.2,1.5,25.0,50,1.0,7.0
1425,829691131,1.0,1.75,1.2,7.0,25.0,50,1.0,7.0
1436,829697177,1.0,1.75,1.3,5.0,25.0,50,1.0,7.0
1447,829703748,1.0,2.0,0.2,3.0,25.0,50,1.0,7.0
1458,829709274,1.0,2.0,0.3,1.0,25.0,50,1.0,7.0
1469,829714660,1.0,2.0,0.3,6.5,25.0,50,1.0,7.0
1480,829720707,1.0,2.0,0.4,4.5,25.0,50,1.0,7.0
1491,829726346,1.0,2.0,0.5,2.5,25.0,50,1.0,7.0
1502,829733890,1.0,2.0,0.6,0.5,25.0,50,1.0,7.0
1513,829739850,1.0,2.0,0.6,6.0,25.0,50,1.0,7.0
1524,829746863,1.0,2.0,0.7,4.0,25.0,50,1.0,7.0
1535,829753127,1.0,2.0,0.8,2.0,25.0,50,1.0,7.0
1546,829759928,1.0,2.0,0.9,0.0,25.0,50,1.0,7.0
1557,829766622,1.0,2.0,0.9,5.5,25.0,50,1.0,7.0
1568,829772029,1.0,2.0,1.0,3.5,25.0,50,1.0,7.0
1579,829777490,1.0,2.0,1.1,1.5,25.0,50,1.0,7.0
1590,829784336,1.0,2.0,1.1,7.0,25.0,50,1.0,7.0
1601,829789029,1.0,2.0,1.2,5.0,25.0,50,1.0,7.0
1612,829795017,1.0,2.0,1.3,3.0,25.0,50,1.0,7.0
1623,829801716,1.0,2.25,0.2,1.0,25.0,50,1.0,7.0
1634,829808111,1.0,2.25,0.2,6.5,25.0,50,1.0,7.0
1645,829813832,1.0,2.25,0.3,4.5,25.0,50,1.0,7.0
1656,829819502,1.0,2.25,0.4,2.5,25.0,50,1.0,7.0
1667,829828253,1.0,2.25,0.5,0.5,25.0,50,1.0,7.0
1678,829834349,1.0,2.25,0.5,6.0,25.0,50,1.0,7.0
1689,829840861,1.0,2.25,0.6,4.0,25.0,50,1.0,7.0
1700,829846804,1.0,2.25,0.7,2.0,25.0,50,1.0,7.0
1711,829852750,1.0,2.25,0.8,0.0,25.0,50,1.0,7.0
1722,829859657,1.0,2.25,0.8,5.5,25.0,50,1.0,7.0
1733,829864136,1.0,2.25,0.9,3.5,25.0,50,1.0,7.0
1744,829869264,1.0,2.25,1.0,1.5,25.0,50,1.0,7.0
1755,829876145,1.0,2.25,1.0,7.0,25.0,50,1.0,7.0
