"run","randomSeed","canalDeath","canalDecay","sust","drought","fort","infert","push","precMean"
6,912960912,1.0,0.0,0.2,2.5,25.0,50,1.0,7.0
14,912973416,1.0,0.0,0.2,6.5,25.0,50,1.0,7.0
22,912979395,1.0,0.0,0.4,3.0,25.0,50,1.0,7.0
30,912985457,1.0,0.0,0.4,7.0,25.0,50,1.0,7.0
38,912991995,1.0,0.0,0.6,3.5,25.0,50,1.0,7.0
46,912999810,1.0,0.0,0.8,0.0,25.0,50,1.0,7.0
54,913006786,1.0,0.0,0.8,4.0,25.0,50,1.0,7.0
62,913012992,1.0,0.0,1.0,0.5,25.0,50,1.0,7.0
70,913022196,1.0,0.0,1.0,4.5,25.0,50,1.0,7.0
78,913028601,1.0,0.0,1.2,1.0,25.0,50,1.0,7.0
86,913035341,1.0,0.0,1.2,5.0,25.0,50,1.0,7.0
94,913042570,1.0,0.0,1.4,1.5,25.0,50,1.0,7.0
102,913049140,1.0,0.0,1.4,5.5,25.0,50,1.0,7.0
110,913056451,1.0,0.0,1.6,2.0,25.0,50,1.0,7.0
118,913064277,1.0,0.0,1.6,6.0,25.0,50,1.0,7.0
126,913070956,1.0,0.0,1.8,2.5,25.0,50,1.0,7.0
134,913077649,1.0,0.0,1.8,6.5,25.0,50,1.0,7.0
142,913083403,1.0,0.0,2.0,3.0,25.0,50,1.0,7.0
150,913091152,1.0,0.0,2.0,7.0,25.0,50,1.0,7.0
158,913096973,1.0,0.25,0.2,3.5,25.0,50,1.0,7.0
166,913103209,1.0,0.25,0.4,0.0,25.0,50,1.0,7.0
174,913110270,1.0,0.25,0.4,4.0,25.0,50,1.0,7.0
182,913114955,1.0,0.25,0.6,0.5,25.0,50,1.0,7.0
190,913121172,1.0,0.25,0.6,4.5,25.0,50,1.0,7.0
198,913128362,1.0,0.25,0.8,1.0,25.0,50,1.0,7.0
206,913136348,1.0,0.25,0.8,5.0,25.0,50,1.0,7.0
214,913141844,1.0,0.25,1.0,1.5,25.0,50,1.0,7.0
222,913149183,1.0,0.25,1.0,5.5,25.0,50,1.0,7.0
230,913155129,1.0,0.25,1.2,2.0,25.0,50,1.0,7.0
238,913160790,1.0,0.25,1.2,6.0,25.0,50,1.0,7.0
246,913166893,1.0,0.25,1.4,2.5,25.0,50,1.0,7.0
254,913173900,1.0,0.25,1.4,6.5,25.0,50,1.0,7.0
262,913178934,1.0,0.25,1.6,3.0,25.0,50,1.0,7.0
270,913185257,1.0,0.25,1.6,7.0,25.0,50,1.0,7.0
278,913191145,1.0,0.25,1.8,3.5,25.0,50,1.0,7.0
