"run","randomSeed","canalDeath","canalDecay","sust","drought","fort","infert","push","precMean"
6,888583255,1.0,0.0,1.4,2.5,25.0,50,1.0,7.0
13,888595592,1.0,0.0,1.4,6.0,25.0,50,1.0,7.0
20,888601850,1.0,0.0,1.5,2.0,25.0,50,1.0,7.0
27,888607853,1.0,0.0,1.5,5.5,25.0,50,1.0,7.0
34,888614175,1.0,0.0,1.6,1.5,25.0,50,1.0,7.0
41,888620756,1.0,0.0,1.6,5.0,25.0,50,1.0,7.0
48,888627379,1.0,0.0,1.7,1.0,25.0,50,1.0,7.0
55,888633716,1.0,0.0,1.7,4.5,25.0,50,1.0,7.0
62,888641440,1.0,0.0,1.8,0.5,25.0,50,1.0,7.0
69,888649345,1.0,0.0,1.8,4.0,25.0,50,1.0,7.0
76,888654430,1.0,0.0,1.9,0.0,25.0,50,1.0,7.0
83,888662213,1.0,0.0,1.9,3.5,25.0,50,1.0,7.0
90,888667891,1.0,0.0,1.9,7.0,25.0,50,1.0,7.0
97,888673173,1.0,0.0,2.0,3.0,25.0,50,1.0,7.0
104,888679710,1.0,0.0,2.0,6.5,25.0,50,1.0,7.0
111,888686454,1.0,0.25,1.4,2.5,25.0,50,1.0,7.0
118,888693245,1.0,0.25,1.4,6.0,25.0,50,1.0,7.0
125,888697454,1.0,0.25,1.5,2.0,25.0,50,1.0,7.0
132,888700976,1.0,0.25,1.5,5.5,25.0,50,1.0,7.0
139,888706205,1.0,0.25,1.6,1.5,25.0,50,1.0,7.0
146,888711846,1.0,0.25,1.6,5.0,25.0,50,1.0,7.0
153,888717281,1.0,0.25,1.7,1.0,25.0,50,1.0,7.0
160,888723152,1.0,0.25,1.7,4.5,25.0,50,1.0,7.0
167,888729491,1.0,0.25,1.8,0.5,25.0,50,1.0,7.0
174,888736281,1.0,0.25,1.8,4.0,25.0,50,1.0,7.0
181,888742139,1.0,0.25,1.9,0.0,25.0,50,1.0,7.0
188,888749348,1.0,0.25,1.9,3.5,25.0,50,1.0,7.0
